timestamp,node_id,event_type,amplitude
16.400000000000098,2,pulse_injected,0.3333227399918225
24.25000000000021,2,pulse_injected,-0.33366014551095075
55.50000000000052,2,failure_start,0.0
16.19999999999996,3,failure_start,0.0
24.19999999999996,3,failure_end,0.0
32.55000000000004,3,pulse_injected,0.33538638924997555
40.399999999999594,3,pulse_injected,-0.35131833954549685
55.79999999999872,3,pulse_injected,-0.336096879209323
16.400000000000098,4,pulse_injected,-0.33335031902819207
24.25000000000021,4,pulse_injected,0.33366613529062794
32.30000000000019,4,failure_start,0.0
40.30000000000019,4,failure_end,0.0
32.55000000000029,5,pulse_injected,-0.3326530310120698
40.39999999999984,5,pulse_injected,0.3165265220532078
50.29999999999928,6,pulse_injected,0.3366952182282726
58.099999999998836,6,pulse_injected,-0.34904848313665154
50.00000000000044,7,failure_start,0.0
58.00000000000044,7,failure_end,0.0
50.29999999999928,8,pulse_injected,-0.3293296929337131
58.099999999998836,8,pulse_injected,0.31914052421110617
55.79999999999897,11,pulse_injected,0.3356830077280866
