run_timestamp_iso,propagation_method,k_prop,composition_mode,num_agents,encirclement_radius,sim_duration,init_radius_range,init_angles_equidistant,failure_enable,failure_mean_per_min,target_swarm_spin_enable,target_swarm_omega_ref,protection_angle_deg,experiment_reproducible,metrics_t0,metrics_e_thr,metrics_ma_w_sec,metrics_settle_window_sec,M1_P95_e_pooled,M2_P95_P95i,M3_P95_abs_dedt,M4_RMS_osc,M5_mean_v2,M6_Pr_sat,M7_settle_median,M7_settle_P95,M7_settled_frac
2026-05-01T20:37:44,wave,1.5,sum,10,20.0,300.0,0.1,False,True,1.0,False,0.0,360.0,True,0.0,0.05,1.0,5.0,0.2986030343090655,0.4614800102856799,0.3938175537050144,0.015055259078612288,0.09424617913121247,0.0,6.509999999999906,7.887499999999876,1.0
2026-05-01T20:38:50,wave,2.0,sum,10,20.0,300.0,0.1,False,True,1.0,False,0.0,360.0,True,0.0,0.05,1.0,5.0,0.29893285219345606,0.46292446934859643,0.39379689660307055,0.015064371689529937,0.09435268499141257,0.0,6.509999999999906,7.887499999999876,1.0
2026-05-01T20:39:56,wave,2.5,sum,10,20.0,300.0,0.1,False,True,1.0,False,0.0,360.0,True,0.0,0.05,1.0,5.0,0.30000558282599155,0.4642927078940052,0.3942582262104915,0.015076064427941425,0.09445993961328428,0.0,6.484999999999906,7.887499999999876,1.0
2026-05-01T20:41:02,wave,3.0,sum,10,20.0,300.0,0.1,False,True,1.0,False,0.0,360.0,True,0.0,0.05,1.0,5.0,0.3011714352627347,0.4666728464888938,0.3944456507986743,0.015085875923175054,0.09457345772001878,0.0,6.484999999999906,7.887499999999876,1.0
2026-05-01T20:42:10,excitable,1.0,blend,10,20.0,300.0,0.1,False,True,1.0,False,0.0,360.0,True,0.0,0.05,1.0,5.0,0.2994335118423741,0.3521983893732616,0.3954741085440943,0.014487050460805277,0.09733788378001587,0.0,6.484999999999906,7.647499999999881,1.0
2026-05-01T20:43:16,excitable,1.5,blend,10,20.0,300.0,0.1,False,True,1.0,False,0.0,360.0,True,0.0,0.05,1.0,5.0,0.30428013947542637,0.3808934323028946,0.3935951532147377,0.015345015938479317,0.09799934232648387,0.0,6.159999999999913,7.557499999999883,1.0
2026-05-01T20:44:22,excitable,2.0,blend,10,20.0,300.0,0.1,False,True,1.0,False,0.0,360.0,True,0.0,0.05,1.0,5.0,0.2913389853961649,0.32771602489727725,0.38680264640214174,0.014676526520176108,0.09724569966183329,0.0,6.109999999999914,7.377499999999886,1.0
2026-05-01T20:45:26,excitable,2.5,blend,10,20.0,300.0,0.1,False,True,1.0,False,0.0,360.0,True,0.0,0.05,1.0,5.0,0.3276547319028418,0.4221853719787924,0.4162049485004857,0.016019164600966054,0.10136787569589222,0.0,6.084999999999915,7.444999999999885,1.0
2026-05-01T20:46:32,excitable,3.0,blend,10,20.0,300.0,0.1,False,True,1.0,False,0.0,360.0,True,0.0,0.05,1.0,5.0,0.2891190974064239,0.3381889448435275,0.4048704274289206,0.014590944851156057,0.09751566915363032,0.0,6.034999999999916,8.502499999999861,1.0
2026-05-01T20:47:37,excitable,1.0,sum,10,20.0,300.0,0.1,False,True,1.0,False,0.0,360.0,True,0.0,0.05,1.0,5.0,0.3101011693224991,0.38714521753094644,0.3865067188988888,0.014695672754973362,0.09580368686969967,0.0,6.484999999999906,7.774999999999879,1.0
2026-05-01T20:48:40,excitable,1.5,sum,10,20.0,300.0,0.1,False,True,1.0,False,0.0,360.0,True,0.0,0.05,1.0,5.0,0.31238260534242646,0.3984389634492972,0.3896046526475816,0.015429726144103768,0.09745408557680565,0.0,6.484999999999906,7.774999999999879,1.0
2026-05-01T20:49:43,excitable,2.0,sum,10,20.0,300.0,0.1,False,True,1.0,False,0.0,360.0,True,0.0,0.05,1.0,5.0,0.31073557774683735,0.3560746319582728,0.3916174673039422,0.014725246078520266,0.09710459132343617,0.0,6.259999999999911,7.72999999999988,1.0
2026-05-01T20:50:47,excitable,2.5,sum,10,20.0,300.0,0.1,False,True,1.0,False,0.0,360.0,True,0.0,0.05,1.0,5.0,0.3371338161819069,0.43506484787107913,0.40134355275334443,0.015810288085407742,0.10080672396088979,0.0,6.209999999999912,8.212499999999869,1.0
2026-05-01T20:51:52,excitable,3.0,sum,10,20.0,300.0,0.1,False,True,1.0,False,0.0,360.0,True,0.0,0.05,1.0,5.0,0.31260708305114143,0.47218645384269664,0.402655262760499,0.015148442344941433,0.09726980045468067,0.0,6.209999999999912,8.267499999999867,1.0
2026-05-01T20:52:55,kdv,1.0,blend,10,20.0,300.0,0.1,False,True,1.0,False,0.0,360.0,True,0.0,0.05,1.0,5.0,0.3126528914465554,0.4787227587923261,0.3918939742936471,0.015233821426658068,0.09565325707434708,0.0,7.509999999999884,34.415000000000745,1.0
