tau_fit,tau_fit_r2,egap_final,egap_late_std,method,N,gain,k_e_tau
19.475477659210625,0.9396504871881934,3.292418977871937e-05,1.249708806541134e-05,baseline,24,normalized,10.416666666666666
11.625290426553963,0.7658265850666559,1.440757690378368e-05,5.4687093245822295e-06,dual_pulse,24,normalized,10.416666666666666
54.78771697841759,0.9195871765719007,0.0026833349403703,0.00026042991757874645,baseline,40,normalized,6.25
42.0212019804495,0.7258536039690446,0.0014793040618804,0.00014357230417488833,dual_pulse,40,normalized,6.25
85.34918617265048,0.9147672080182548,0.0055840559665985,0.00032510047756958066,baseline,50,normalized,5.0
74.71026426739306,0.7586351238359117,0.0035332972048538,0.0002056553759002206,dual_pulse,50,normalized,5.0
7.081980599844005,0.9621348428732619,1.364692716829328e-06,2.9797708748234395e-06,baseline,24,fixed,25.0
3.0165908778764785,0.946087855856901,1.0169593766061457e-07,2.2205771227891877e-07,dual_pulse,24,fixed,25.0
12.257849700664696,0.9493861936450096,1.7588941943024138e-05,1.1688769978970574e-05,baseline,40,fixed,25.0
11.008137485767834,0.8577295922684729,8.708665828618105e-06,8.259253514864519e-06,dual_pulse,40,fixed,25.0
140.12206305582797,0.006580568805217735,0.5183673493270979,0.048027295886920666,baseline,50,fixed,25.0
47.064305054640016,0.3626515785898037,0.3853323073881686,0.07941549479997138,dual_pulse,50,fixed,25.0
