tau_fit,tau_fit_r2,egap_final,egap_late_std,settled,effort_mean_v2,sat_frac,fairness_p95,method,N,tau_xy,loss,delay,repeats,seed,agent_state_timeout
,0.09369144041768218,0.0065423760362063,0.030775266284821048,False,1.6904457960771206e-05,0.0,0.010174845090351763,baseline,24,1.0,0.2,0.0,2,0,0.25
,0.0033854772621076945,0.0285229366404232,0.0308844490357659,False,7.917998042616257e-05,0.0,0.03472866367598913,B2,24,1.0,0.2,0.0,2,0,0.25
,0.258378983179242,0.0020624357696622,0.025912453766466927,False,1.7326440654901016e-05,0.0,0.01106328044679648,baseline,24,1.0,0.2,0.0,2,1,0.25
,0.0007059181535185033,0.0306073896931845,0.02445554936089629,False,9.948129236673208e-05,0.0,0.03782158349343887,B2,24,1.0,0.2,0.0,2,1,0.25
,0.007417704857078711,0.0026123193415748,0.025699770574020224,False,1.6486199407575634e-05,0.0,0.010068552337373336,baseline,24,1.0,0.2,0.0,2,2,0.25
3461.3645907362384,0.0007965902793442003,0.0206240774400125,0.025859001957584567,False,6.455953186154813e-05,0.0,0.01994759679712449,B2,24,1.0,0.2,0.0,2,2,0.25
