method,scenario,motion,seed,speed,egap_avg,t_settle,egap_settle,Er_avg,Evr_avg,n_inj,has_event
baseline,recover,const,0,0.0,0.009424554673111587,28.800000000001905,0.0005916845309616001,1.5005229745872203e-05,0.0002206169789192822,0,True
B2,recover,const,0,0.0,0.005020752524435242,16.54000000000063,0.00019259265979829998,2.263877322774934e-05,0.00031807569821292267,2,True
baseline,recover,const,1,0.0,0.009422604348227155,28.810000000001903,0.00059124170097385,1.5084640238261824e-05,0.00022246260548234285,0,True
B2,recover,const,1,0.0,0.005033519694642218,16.56000000000063,0.0001947544283483,2.260818298878052e-05,0.0003172943401570853,2,True
baseline,recover,const,2,0.0,0.0094242902709868,28.810000000001903,0.0005909854080079499,1.5035333869388192e-05,0.0002225012717374245,0,True
B2,recover,const,2,0.0,0.00500806017611501,16.550000000000633,0.00019051384288895,2.2590249596895177e-05,0.00031858774392962667,2,True
