tau_fit,tau_fit_r2,egap_final,egap_late_std,settled,method,N,tau_xy,loss,delay,seed
19.475477659210625,0.9396504871881934,0.0001165610305361,4.423759229160309e-05,True,baseline,24,1.0,0.0,0.0,0
2.172055529313077,0.9327460206214924,1.370210932383902e-05,5.20026261137329e-06,True,B2,24,1.0,0.0,0.0,0
19.489245999164964,0.9398954214279794,0.0001166045065333,4.425772755954028e-05,True,baseline,24,1.0,0.0,0.0,1
2.171918921064564,0.9318082837464363,1.362099999003522e-05,5.169896633493315e-06,True,B2,24,1.0,0.0,0.0,1
19.497725311225807,0.939991104704217,0.0001166393175117,4.426660492246269e-05,True,baseline,24,1.0,0.0,0.0,2
2.1731896398857784,0.9304291644066076,1.3598592996778473e-05,5.1608918939673965e-06,True,B2,24,1.0,0.0,0.0,2
,,0.000116915943074,4.4342776782957655e-05,True,baseline,24,1.0,0.05,0.0,0
,,9.48884989275745e-05,3.598711755546614e-05,True,B2,24,1.0,0.05,0.0,0
,,0.0001230437041882,4.6669501564283944e-05,True,baseline,24,1.0,0.05,0.0,1
5504.236267645921,0.024861340177676716,0.0496094969349985,1.2693034096650117e-05,True,B2,24,1.0,0.05,0.0,1
19.514044907125452,0.940022249751331,0.0001171250828051,4.441109815096493e-05,True,baseline,24,1.0,0.05,0.0,2
11.628376010047244,0.7987299587247418,5.205624745335621e-05,1.973964377176933e-05,True,B2,24,1.0,0.05,0.0,2
34.12298529536403,0.4676462684755426,7.317678534577748e-05,0.0001113754514700985,True,baseline,24,1.0,0.1,0.0,0
,0.9193857084201205,0.1602440456467738,4.612070028099353e-05,False,B2,24,1.0,0.1,0.0,0
34.71581082375491,0.4644752596909373,0.0001955603235289,6.39471355235281e-05,True,baseline,24,1.0,0.1,0.0,1
256.22329038592574,0.6646444638571112,0.1471437120446045,1.4862134544509895e-05,False,B2,24,1.0,0.1,0.0,1
40.68633838635745,0.3632978814723985,9.006357490974329e-05,0.004449425173771339,True,baseline,24,1.0,0.1,0.0,2
1283.1943041498253,0.19557935863498088,0.272000516540154,0.003014130537168568,False,B2,24,1.0,0.1,0.0,2
,0.003570187223132182,0.0012331823966567,0.01326262893679015,True,baseline,24,1.0,0.2,0.0,0
251.78405352064712,0.5375493835093094,0.6362298848674884,0.02015190464328879,False,B2,24,1.0,0.2,0.0,0
,0.7378247275510772,0.001290019672487,0.012520996735341116,True,baseline,24,1.0,0.2,0.0,1
,0.2238034519667088,0.5920339377506223,0.005904509445356761,False,B2,24,1.0,0.2,0.0,1
2250.7628965095896,0.015169558588351117,0.0006394244162171,0.007649561625221734,True,baseline,24,1.0,0.2,0.0,2
,0.020220633676291344,0.7022786632412276,0.017055822770604186,False,B2,24,1.0,0.2,0.0,2
2164.7476644369726,0.00547727027592726,0.0076068261642648,0.07580210171126694,False,baseline,24,1.0,0.4,0.0,0
,0.4113647756055546,1.2416410103393352,0.04805783576690139,False,B2,24,1.0,0.4,0.0,0
,0.3750877336238414,0.1948180790554398,0.06824989374216156,False,baseline,24,1.0,0.4,0.0,1
146.05485112127585,0.4020757468628178,0.6205272798717466,0.05892255565734598,False,B2,24,1.0,0.4,0.0,1
147.502273728168,0.010545762256586544,0.007428453169466,0.0733899331432329,False,baseline,24,1.0,0.4,0.0,2
434.41661315505075,0.15289236626945812,0.7166994826668275,0.03132588886203877,False,B2,24,1.0,0.4,0.0,2
