t_fail,egap_pre,gmax_pre,alive_pre,dp_completed,dp_self_shift,dp_coverage,dp_hop_sum_ok_frac,dp_hop_sum_median,gmax_peak,gap_peak_deg,alive_at_peak,t_close_125,t_close_110,breach_area_125,gmax_final,egap_final,alive_final,assert_alive_min,assert_roles_agent,assert_matrix_differs,comm_marker,method,N,radius,range_aa,range_at,c_hops,c_hops_post,tau_xy,seed,victim,agent_state_timeout,dt,git_commit,git_dirty,experiment_seed,control_period,k_e_tau,composition_mode,num_agents,encirclement_radius,sim_duration,protection_angle_deg,dual_pulse_integration,dual_pulse_delta_scale,dual_pulse_ttl_hops,dual_pulse_t_ff,dual_pulse_multiplicity,dual_pulse_consume_ff_only,communication_delay,communication_failure_rate,communication_range,comm_role_aware_ranges,comm_range_agent_agent,comm_range_agent_target,broadcast_repeats,deterministic_failure_enable,deterministic_failure_agent_id,deterministic_failure_agent_ids,deterministic_failure_time,deterministic_failure_off_time,failure_enable,failure_mean_per_min,experiment_reproducible,vm_tau_xy,vm_max_speed_xy,target_motion_speed_xy,target_swarm_spin_enable,target_swarm_omega_ref,init_radius_range,init_angles_equidistant
5.099999999999998,0.0036901202175462,1.0062912103315271,24.0,0,0,0.0,,,2.1532457698814604,33.70297726770981,23.0,inf,inf,22.770665290189292,1.810676016851088,0.2204397273828017,23.0,23.0,24,True,"[comm] role_aware=1 roles={adversary:1,agent:24,target:1} matrix={agent>agent:6.3,agent>target:200,target>agent:200} default=200 differs=1",baseline,24,20.0,6.3,200.0,1.2066543681476114,1.1566708958863663,1.0,5,19,0.25,0.05,f96d319,False,5,0.05,10.416667,sum,24,20.0,95.0,360.0,B2,1.0,72,1.0,True,True,0.0,0.0,200.0,True,6.3,200.0,2,True,19,19,5.0,-1.0,True,0.0,True,1.0,10.0,0.0,False,0.0,0.0,True
5.099999999999998,0.0036901202175462,1.0062912103315271,24.0,8,8,0.6956521739130435,0.0,4.0,3.417311494619497,53.48835382882691,23.0,inf,inf,34.50017600257086,1.7568994995076537,0.4580349372440657,23.0,23.0,24,True,"[comm] role_aware=1 roles={adversary:1,agent:24,target:1} matrix={agent>agent:6.3,agent>target:200,target>agent:200} default=200 differs=1",B2,24,20.0,6.3,200.0,1.2066543681476114,1.1566708958863663,1.0,5,19,0.25,0.05,f96d319,False,5,0.05,10.416667,sum,24,20.0,95.0,360.0,B2,1.0,72,1.0,True,True,0.0,0.0,200.0,True,6.3,200.0,2,True,19,19,5.0,-1.0,True,0.0,True,1.0,10.0,0.0,False,0.0,0.0,True
5.099999999999998,0.0036901202175462,1.0062912103315271,24.0,0,0,0.0,,,2.043589466852313,31.98661774203621,23.0,inf,inf,22.987864158211927,1.464667499463585,0.1455644973210859,23.0,23.0,24,True,"[comm] role_aware=1 roles={adversary:1,agent:24,target:1} matrix={agent>agent:6.3,agent>target:200,target>agent:200} default=200 differs=1",baseline,24,20.0,6.3,200.0,1.2066543681476114,1.1566708958863663,1.0,6,20,0.25,0.05,f96d319,False,6,0.05,10.416667,sum,24,20.0,95.0,360.0,B2,1.0,72,1.0,True,True,0.0,0.0,200.0,True,6.3,200.0,2,True,20,20,5.0,-1.0,True,0.0,True,1.0,10.0,0.0,False,0.0,0.0,True
5.099999999999998,0.0036901202175462,1.0062912103315271,24.0,18,19,1.608695652173913,0.0,4.0,8.246593949361959,129.07712268566544,23.0,inf,inf,112.65913716912327,3.5973221564951703,0.6675217923044268,23.0,23.0,24,True,"[comm] role_aware=1 roles={adversary:1,agent:24,target:1} matrix={agent>agent:6.3,agent>target:200,target>agent:200} default=200 differs=1",B2,24,20.0,6.3,200.0,1.2066543681476114,1.1566708958863663,1.0,6,20,0.25,0.05,f96d319,False,6,0.05,10.416667,sum,24,20.0,95.0,360.0,B2,1.0,72,1.0,True,True,0.0,0.0,200.0,True,6.3,200.0,2,True,20,20,5.0,-1.0,True,0.0,True,1.0,10.0,0.0,False,0.0,0.0,True
5.099999999999998,0.0036901202175462,1.0062912103315271,24.0,0,0,0.0,,,2.011736273279233,31.488046016544516,23.0,inf,inf,15.472130133485734,1.3681309123802203,0.1416999157364872,23.0,23.0,24,True,"[comm] role_aware=1 roles={adversary:1,agent:24,target:1} matrix={agent>agent:6.3,agent>target:200,target>agent:200} default=200 differs=1",baseline,24,20.0,6.3,200.0,1.2066543681476114,1.1566708958863663,1.0,7,21,0.25,0.05,f96d319,False,7,0.05,10.416667,sum,24,20.0,95.0,360.0,B2,1.0,72,1.0,True,True,0.0,0.0,200.0,True,6.3,200.0,2,True,21,21,5.0,-1.0,True,0.0,True,1.0,10.0,0.0,False,0.0,0.0,True
5.099999999999998,0.0036901202175462,1.0062912103315271,24.0,0,0,0.0,,,2.011736273279233,31.488046016544516,23.0,inf,inf,15.472130133485734,1.3681309123802203,0.1416999157364872,23.0,23.0,24,True,"[comm] role_aware=1 roles={adversary:1,agent:24,target:1} matrix={agent>agent:6.3,agent>target:200,target>agent:200} default=200 differs=1",B2,24,20.0,6.3,200.0,1.2066543681476114,1.1566708958863663,1.0,7,21,0.25,0.05,f96d319,False,7,0.05,10.416667,sum,24,20.0,95.0,360.0,B2,1.0,72,1.0,True,True,0.0,0.0,200.0,True,6.3,200.0,2,True,21,21,5.0,-1.0,True,0.0,True,1.0,10.0,0.0,False,0.0,0.0,True
5.099999999999998,0.0036901202175462,1.0062912103315271,24.0,0,0,0.0,,,1.916678808221932,30.00019004173458,23.0,3.2499999999999947,8.050000000000063,0.7449939992531596,1.0022297129184483,0.0015725941334849,23.0,23.0,24,True,"[comm] role_aware=1 roles={adversary:1,agent:24,target:1} matrix={agent>agent:8.4,agent>target:200,target>agent:200} default=200 differs=1",baseline,24,20.0,8.4,200.0,1.608872490863482,1.5422278611818216,1.0,0,14,0.25,0.05,f96d319,False,0,0.05,10.416667,sum,24,20.0,95.0,360.0,B2,1.0,72,1.0,True,True,0.0,0.0,200.0,True,8.4,200.0,2,True,14,14,5.0,-1.0,True,0.0,True,1.0,10.0,0.0,False,0.0,0.0,True
5.099999999999998,0.0036901202175462,1.0062912103315271,24.0,21,1,0.9565217391304348,1.0,23.0,1.916678808221932,30.00019004173458,23.0,6.45000000000004,16.700000000000188,0.8897729876444127,1.0043382518587232,0.0030708436770058,23.0,23.0,24,True,"[comm] role_aware=1 roles={adversary:1,agent:24,target:1} matrix={agent>agent:8.4,agent>target:200,target>agent:200} default=200 differs=1",B2,24,20.0,8.4,200.0,1.608872490863482,1.5422278611818216,1.0,0,14,0.25,0.05,f96d319,False,0,0.05,10.416667,sum,24,20.0,95.0,360.0,B2,1.0,72,1.0,True,True,0.0,0.0,200.0,True,8.4,200.0,2,True,14,14,5.0,-1.0,True,0.0,True,1.0,10.0,0.0,False,0.0,0.0,True
5.099999999999998,0.0036901202175462,1.0062912103315271,24.0,0,0,0.0,,,1.9137639788582737,29.95456662560776,23.0,3.2999999999999954,8.050000000000063,0.7595419475852976,1.002211704386858,0.0015630150162285,23.0,23.0,24,True,"[comm] role_aware=1 roles={adversary:1,agent:24,target:1} matrix={agent>agent:8.4,agent>target:200,target>agent:200} default=200 differs=1",baseline,24,20.0,8.4,200.0,1.608872490863482,1.5422278611818216,1.0,1,15,0.25,0.05,f96d319,False,1,0.05,10.416667,sum,24,20.0,95.0,360.0,B2,1.0,72,1.0,True,True,0.0,0.0,200.0,True,8.4,200.0,2,True,15,15,5.0,-1.0,True,0.0,True,1.0,10.0,0.0,False,0.0,0.0,True
5.099999999999998,0.0036901202175462,1.0062912103315271,24.0,21,1,0.9565217391304348,1.0,23.0,1.9137639788582737,29.95456662560776,23.0,6.45000000000004,16.650000000000183,0.9609618710290861,1.0043275015874296,0.0030666314607689,23.0,23.0,24,True,"[comm] role_aware=1 roles={adversary:1,agent:24,target:1} matrix={agent>agent:8.4,agent>target:200,target>agent:200} default=200 differs=1",B2,24,20.0,8.4,200.0,1.608872490863482,1.5422278611818216,1.0,1,15,0.25,0.05,f96d319,False,1,0.05,10.416667,sum,24,20.0,95.0,360.0,B2,1.0,72,1.0,True,True,0.0,0.0,200.0,True,8.4,200.0,2,True,15,15,5.0,-1.0,True,0.0,True,1.0,10.0,0.0,False,0.0,0.0,True
