tau_fit,tau_fit_r2,t_settle,t_settle_2pct,egap_settle,egap_peak,egap_final,egap_avg,egap_late_std,overshoot_frac,sec_per_hop,c_ticks_per_hop,hop_fit_r2,t_dissem,t_apply_first,n_with_shift,coverage,max_hop,line_half_N_dt,line_N_dt,grid,method,N,dt,seed,victim,t_fault,analysis_t0,k_e_tau,agent_state_timeout,budget,sim_duration,vm_tau_xy,t_ff,ttl_hops,broadcast_repeats,encirclement_radius,adversary_roam_speed_xy,target_swarm_spin_enable,git_commit,git_dirty,experiment_seed,control_period,composition_mode,num_agents,protection_angle_deg,dual_pulse_integration,dual_pulse_delta_scale,dual_pulse_ttl_hops,dual_pulse_t_ff,dual_pulse_multiplicity,dual_pulse_consume_ff_only,communication_delay,communication_failure_rate,communication_range,deterministic_failure_enable,deterministic_failure_agent_id,deterministic_failure_agent_ids,deterministic_failure_time,deterministic_failure_off_time,failure_enable,failure_mean_per_min,experiment_reproducible,vm_max_speed_xy,target_motion_speed_xy,target_swarm_omega_ref,init_radius_range,init_angles_equidistant
2.9839202910142384,0.9349704663152927,7.98999999999983,23.030000000001646,0.0014864788837355499,0.1540982349622729,0.0014757935723776,0.003095065169223075,0.00014425402738804194,0.9495129867705044,0.006005180273518311,0.6005180273518311,0.5845238446525085,0.34999999999993037,0.18999999999993378,39,1.0,39.0,0.2,0.4,A,B2,40,0.01,0,22,5.099999999999998,5.0,6.25,0.05,90.0,95.0,1.0,1.0,120,2,20.0,0.0,False,5646696,False,0,0.01,sum,40,360.0,B2,1.0,120,1.0,True,True,0.0,0.0,200.0,True,22,22,5.0,-1.0,True,2.0,True,10.0,0.0,0.0,0.0,True
3.0735688037859963,0.9301802038912372,8.059999999999828,23.3500000000017,0.00150093728513575,0.1543614145550918,0.0014901384257961,0.0031319078325499103,0.00014568400439305567,0.9495090499153406,0.0070507666804805825,0.7050766680480582,0.9735288014799451,0.3299999999999308,0.18999999999993378,39,1.0,39.0,0.2,0.4,A,B2,40,0.01,1,23,5.099999999999998,5.0,6.25,0.05,90.0,95.0,1.0,1.0,120,2,20.0,0.0,False,5646696,False,1,0.01,sum,40,360.0,B2,1.0,120,1.0,True,True,0.0,0.0,200.0,True,23,23,5.0,-1.0,True,2.0,True,10.0,0.0,0.0,0.0,True
3.08219526331113,0.9300675954806041,8.079999999999826,23.300000000001685,0.0014948587152619499,0.1545326035478746,0.0014841810857678,0.0031242720920989057,0.00014511610666843118,0.9495116045662798,0.00548777455449636,0.548777455449636,0.5856633675906057,0.3299999999999308,0.179999999999934,39,1.0,39.0,0.2,0.4,A,B2,40,0.01,2,24,5.099999999999998,5.0,6.25,0.05,90.0,95.0,1.0,1.0,120,2,20.0,0.0,False,5646696,False,2,0.01,sum,40,360.0,B2,1.0,120,1.0,True,True,0.0,0.0,200.0,True,24,24,5.0,-1.0,True,2.0,True,10.0,0.0,0.0,0.0,True
2.767460912405376,0.964339226511263,8.350000000000065,21.10000000000025,0.0012156441462697,0.1551978312325075,0.0012070584150326,0.002662062623412836,0.00011586984771830195,0.9496052646837686,0.027363240779113045,0.5472648155822609,0.9317825582995838,1.4999999999999867,0.9499999999999886,39,1.0,39.0,1.0,2.0,A,B2,40,0.05,0,22,5.099999999999998,5.0,6.25,0.25,90.0,95.0,1.0,1.0,120,2,20.0,0.0,False,5646696,False,0,0.05,sum,40,360.0,B2,1.0,120,1.0,True,True,0.0,0.0,200.0,True,22,22,5.0,-1.0,True,2.0,True,10.0,0.0,0.0,0.0,True
2.6545043264128902,0.9696197202890708,8.200000000000061,20.100000000000232,0.0011837746856044,0.1545673171604306,0.0011754647137081,0.0025671220070206994,0.00011270918709762484,0.949614112874659,0.029259220886862728,0.5851844177372545,0.8216263866619203,1.5499999999999865,0.9499999999999886,39,1.0,39.0,1.0,2.0,A,B2,40,0.05,1,23,5.099999999999998,5.0,6.25,0.25,90.0,95.0,1.0,1.0,120,2,20.0,0.0,False,5646696,False,1,0.05,sum,40,360.0,B2,1.0,120,1.0,True,True,0.0,0.0,200.0,True,23,23,5.0,-1.0,True,2.0,True,10.0,0.0,0.0,0.0,True
2.6799704464651017,0.9698486802579422,8.200000000000061,19.85000000000023,0.0011713749496683,0.1542304588926307,0.0011630816628718,0.002536916097755965,0.00011148191227631574,0.9496173454983878,0.027668876916701092,0.5533775383340218,0.9270167192791651,1.5499999999999865,0.9499999999999886,39,1.0,39.0,1.0,2.0,A,B2,40,0.05,2,24,5.099999999999998,5.0,6.25,0.25,90.0,95.0,1.0,1.0,120,2,20.0,0.0,False,5646696,False,2,0.05,sum,40,360.0,B2,1.0,120,1.0,True,True,0.0,0.0,200.0,True,24,24,5.0,-1.0,True,2.0,True,10.0,0.0,0.0,0.0,True
