method,N,seed,victim_node,t0,sim_duration,t_stab_gmax,t_stab_egap,settled_gmax,gmax_peak,egap_final,n_pulse_payloads
baseline,32,0,18,5.0,135.0,11.399999999999764,4.829999999999837,True,1.9368416199719107,2.1712166491912954e-06,
baseline,40,0,22,5.0,135.0,15.000000000000327,4.469999999999844,True,1.949914986526376,1.7588941943024138e-05,
baseline,50,0,27,5.0,135.0,,12.249999999999897,False,2.367727386687494,0.5183673493270979,
dual_pulse,32,0,18,5.0,135.0,6.089999999999808,3.2999999999998675,True,1.9368416199719107,1.0171626418814039e-07,124.0
dual_pulse,40,0,22,5.0,135.0,12.219999999999892,3.1099999999998715,True,1.949914986526376,8.708665828618105e-06,156.0
dual_pulse,50,0,27,5.0,135.0,,,False,2.303768818957493,0.3853323073881686,196.0
