tau_fit,tau_fit_r2,egap_final,egap_late_std,settled,method,N,tau_xy,loss,delay,repeats,seed
34.12298529536403,0.4676462684755426,7.317678534577748e-05,0.00011137545147,True,B2,24,1.0,0.1,0.0,1,0
34.71581082375491,0.4644752596909373,0.0001955603235289,6.39471355235281e-05,True,B2,24,1.0,0.1,0.0,1,1
40.68633838635745,0.3632978814723985,9.006357490974329e-05,0.0044494251737713,True,B2,24,1.0,0.1,0.0,1,2
,0.9193857084201204,0.1602440456467738,4.612070028099353e-05,False,B2,24,1.0,0.1,0.0,2,0
256.22329038592574,0.6646444638571112,0.1471437120446045,1.4862134544509896e-05,False,B2,24,1.0,0.1,0.0,2,1
1283.1943041498253,0.1955793586349808,0.272000516540154,0.0030141305371685,False,B2,24,1.0,0.1,0.0,2,2
,0.7204789619863715,0.2039606104495976,0.0001734450182481,False,B2,24,1.0,0.1,0.0,3,0
100.35087157921168,0.5451745970806284,0.1604608178689567,3.5081374316580293e-05,False,B2,24,1.0,0.1,0.0,3,1
,0.4978798359335985,0.1917206564535502,0.0016874834355967,False,B2,24,1.0,0.1,0.0,3,2
,0.7388369197655562,0.2099850357419657,0.0001460300348986,False,B2,24,1.0,0.1,0.0,5,0
,0.5070493451223488,0.3099246914724322,0.0006891679518335,False,B2,24,1.0,0.1,0.0,5,1
,0.5010141197933888,0.1871026275116283,0.0017506734245861,False,B2,24,1.0,0.1,0.0,5,2
,0.0035701872231321,0.0012331823966567,0.0132626289367901,True,B2,24,1.0,0.2,0.0,1,0
,0.7378247275510772,0.001290019672487,0.0125209967353411,True,B2,24,1.0,0.2,0.0,1,1
2250.7628965095896,0.0151695585883511,0.0006394244162171,0.0076495616252217,True,B2,24,1.0,0.2,0.0,1,2
251.78405352064712,0.5375493835093094,0.6362298848674884,0.0201519046432887,False,B2,24,1.0,0.2,0.0,2,0
,0.2238034519667088,0.5920339377506223,0.0059045094453567,False,B2,24,1.0,0.2,0.0,2,1
,0.0202206336762913,0.7022786632412276,0.0170558227706041,False,B2,24,1.0,0.2,0.0,2,2
94.19197214847225,0.8097700601011435,0.8602871625036786,0.0629883718292817,False,B2,24,1.0,0.2,0.0,3,0
,0.0975916856986496,0.9092490325233936,0.0200382527688905,False,B2,24,1.0,0.2,0.0,3,1
,0.459458327752002,1.1489301183198155,0.0208456947515729,False,B2,24,1.0,0.2,0.0,3,2
191.460474277789,0.2552999158774679,0.6490955543582158,0.0210135724334414,False,B2,24,1.0,0.2,0.0,5,0
852.2898610861735,0.2757330976187816,0.8436590406706416,0.0116700860917852,False,B2,24,1.0,0.2,0.0,5,1
,0.0996675834271116,0.5978185458187657,0.0143840827487524,False,B2,24,1.0,0.2,0.0,5,2
19.475477659210625,0.9396504871881934,0.0001165610305361,4.423759229160309e-05,True,B2,24,1.0,0.0,0.0,1,0
19.489245999164964,0.9398954214279794,0.0001166045065333,4.425772755954028e-05,True,B2,24,1.0,0.0,0.0,1,1
19.497725311225807,0.939991104704217,0.0001166393175117,4.426660492246269e-05,True,B2,24,1.0,0.0,0.0,1,2
,,0.000116915943074,4.4342776782957655e-05,True,B2,24,1.0,0.05,0.0,1,0
,,0.0001230437041882,4.6669501564283944e-05,True,B2,24,1.0,0.05,0.0,1,1
19.514044907125452,0.940022249751331,0.0001171250828051,4.441109815096493e-05,True,B2,24,1.0,0.05,0.0,1,2
2164.7476644369726,0.00547727027592726,0.0076068261642648,0.07580210171126694,False,B2,24,1.0,0.4,0.0,1,0
,0.3750877336238414,0.1948180790554398,0.06824989374216156,False,B2,24,1.0,0.4,0.0,1,1
147.502273728168,0.010545762256586544,0.007428453169466,0.0733899331432329,False,B2,24,1.0,0.4,0.0,1,2
