method,N,tau_xy,tau_fit,tau_fit_r2,egap_peak
baseline,24,0.2,8.278131949690776,0.9340177552420611,0.195826004944498
baseline,24,0.5,7.853540978412367,0.9388036167671705,0.1958770779830875
baseline,24,1.0,7.081980599844005,0.9621348428732619,0.1959266983638267
baseline,24,2.0,7.22275446304557,0.9870480713237956,0.1964084639509558
dual_pulse,24,0.2,5.796813599525298,0.7785484584747409,0.195826004944498
dual_pulse,24,0.5,2.8796815741776203,0.8555501912166943,0.1958770779830875
dual_pulse,24,1.0,3.0165908778764785,0.946087855856901,0.1959266983638267
dual_pulse,24,2.0,7.004041453739693,0.9463179142128346,0.1964084639509558
