tau_fit,tau_fit_r2,egap_final,egap_late_std,settled,method,N,tau_xy,loss,delay,repeats,seed
20.608643894492467,0.9398644412439345,0.00016093115168,5.6015934436605464e-05,True,baseline,24,1.0,0.0,0.05,2,0
488.45201132636305,0.0912098228928675,0.0155945695538424,1.9563485001514162e-07,True,B2,24,1.0,0.0,0.05,2,0
20.558201707141077,0.9387232642289499,0.0001609527587117,5.60208037643984e-05,True,baseline,24,1.0,0.0,0.05,2,1
472.5596832950447,0.09287608489383625,0.0152185938444756,1.7083029047788336e-07,True,B2,24,1.0,0.0,0.05,2,1
20.56816276715347,0.9388947553898591,0.0001609798460583,5.6026402667628714e-05,True,baseline,24,1.0,0.0,0.05,2,2
463.19037086169965,0.0942190360299191,0.0147788522524604,2.0834402309413448e-07,True,B2,24,1.0,0.0,0.05,2,2
