t_fail,gmax_peak,gap_peak_deg,alive_at_peak,t_close_125,t_close_110,breach_area_125,gmax_final,gap_final_deg,alive_final,egap_final,method,N,vmax,tau_xy,seed,dt,budget,victim,git_commit,git_dirty,experiment_seed,control_period,k_e_tau,composition_mode,num_agents,encirclement_radius,sim_duration,protection_angle_deg,dual_pulse_integration,dual_pulse_delta_scale,dual_pulse_ttl_hops,dual_pulse_t_ff,dual_pulse_multiplicity,dual_pulse_consume_ff_only,communication_delay,communication_failure_rate,communication_range,agent_state_timeout,broadcast_repeats,deterministic_failure_enable,deterministic_failure_agent_id,deterministic_failure_agent_ids,deterministic_failure_time,deterministic_failure_off_time,failure_enable,failure_mean_per_min,experiment_reproducible,vm_tau_xy,vm_max_speed_xy,target_motion_speed_xy,target_swarm_spin_enable,target_swarm_omega_ref,init_radius_range,init_angles_equidistant
5.099999999999998,1.922893816015229,30.097468424586186,23.0,2.299999999999991,8.100000000000062,0.7367979062538162,1.0082789057704244,15.781756785971858,23.0,0.0058273863817532,baseline,24,10.0,0.5,0,0.05,60.0,14,93915a5,False,0,0.05,10.416667,sum,24,20.0,65.0,360.0,B2,1.0,72,0.5,True,True,0.0,0.0,200.0,0.25,2,True,14,14,5.0,-1.0,True,2.0,True,0.5,10.0,0.0,False,0.0,0.0,True
5.099999999999998,1.922893816015229,30.097468424586186,23.0,1.7499999999999947,2.5999999999999908,0.6503492585765995,1.0011612496560085,15.670349994615778,23.0,0.0008203837583117,B2,24,10.0,0.5,0,0.05,60.0,14,93915a5,True,0,0.05,10.416667,sum,24,20.0,65.0,360.0,B2,1.0,72,0.5,True,True,0.0,0.0,200.0,0.25,2,True,14,14,5.0,-1.0,True,2.0,True,0.5,10.0,0.0,False,0.0,0.0,True
5.099999999999998,1.9206892972716088,30.062962913816484,23.0,2.299999999999991,8.100000000000062,0.7194762698166559,1.0082678104415783,15.781583119955139,23.0,0.0058173201146449,baseline,24,10.0,0.5,1,0.05,60.0,15,93915a5,True,1,0.05,10.416667,sum,24,20.0,65.0,360.0,B2,1.0,72,0.5,True,True,0.0,0.0,200.0,0.25,2,True,15,15,5.0,-1.0,True,2.0,True,0.5,10.0,0.0,False,0.0,0.0,True
5.099999999999998,1.9206892972716088,30.062962913816484,23.0,1.7999999999999936,2.6499999999999906,0.6469486911074123,1.0010836150632112,15.669134844467651,23.0,0.0007657630319413,B2,24,10.0,0.5,1,0.05,60.0,15,93915a5,True,1,0.05,10.416667,sum,24,20.0,65.0,360.0,B2,1.0,72,0.5,True,True,0.0,0.0,200.0,0.25,2,True,15,15,5.0,-1.0,True,2.0,True,0.5,10.0,0.0,False,0.0,0.0,True
5.099999999999998,1.9183607399438252,30.026515929555526,23.0,2.249999999999992,8.000000000000062,0.7080156174772676,1.008240104527249,15.781149462165633,23.0,0.0058034001543164,baseline,24,10.0,0.5,2,0.05,60.0,16,93915a5,True,2,0.05,10.416667,sum,24,20.0,65.0,360.0,B2,1.0,72,0.5,True,True,0.0,0.0,200.0,0.25,2,True,16,16,5.0,-1.0,True,2.0,True,0.5,10.0,0.0,False,0.0,0.0,True
5.099999999999998,1.9183607399438252,30.026515929555526,23.0,1.7999999999999936,2.5999999999999908,0.6258335915364185,1.001178496976486,15.670619952675434,23.0,0.0008377256131919,B2,24,10.0,0.5,2,0.05,60.0,16,93915a5,True,2,0.05,10.416667,sum,24,20.0,65.0,360.0,B2,1.0,72,0.5,True,True,0.0,0.0,200.0,0.25,2,True,16,16,5.0,-1.0,True,2.0,True,0.5,10.0,0.0,False,0.0,0.0,True
5.099999999999998,1.917131986813662,30.007283271866015,23.0,2.299999999999991,8.000000000000062,0.7174304503081655,1.0082080184082949,15.78064724465157,23.0,0.0057765373075376,baseline,24,10.0,0.5,3,0.05,60.0,17,93915a5,True,3,0.05,10.416667,sum,24,20.0,65.0,360.0,B2,1.0,72,0.5,True,True,0.0,0.0,200.0,0.25,2,True,17,17,5.0,-1.0,True,2.0,True,0.5,10.0,0.0,False,0.0,0.0,True
5.099999999999998,1.917131986813662,30.007283271866015,23.0,1.699999999999994,2.549999999999991,0.625116926715087,1.0010715578653893,15.668946123110437,23.0,0.0007626676513881,B2,24,10.0,0.5,3,0.05,60.0,17,93915a5,True,3,0.05,10.416667,sum,24,20.0,65.0,360.0,B2,1.0,72,0.5,True,True,0.0,0.0,200.0,0.25,2,True,17,17,5.0,-1.0,True,2.0,True,0.5,10.0,0.0,False,0.0,0.0,True
5.099999999999998,1.916743424365997,30.001201424859087,23.0,2.299999999999991,8.000000000000062,0.7202861927745834,1.0081624876735489,15.779934589672933,23.0,0.0057482623029447,baseline,24,10.0,0.5,4,0.05,60.0,18,93915a5,True,4,0.05,10.416667,sum,24,20.0,65.0,360.0,B2,1.0,72,0.5,True,True,0.0,0.0,200.0,0.25,2,True,18,18,5.0,-1.0,True,2.0,True,0.5,10.0,0.0,False,0.0,0.0,True
5.099999999999998,1.916743424365997,30.001201424859087,23.0,1.7999999999999936,2.5999999999999908,0.6479525620306158,1.001075504583553,15.669007897829525,23.0,0.0007642860787633,B2,24,10.0,0.5,4,0.05,60.0,18,93915a5,True,4,0.05,10.416667,sum,24,20.0,65.0,360.0,B2,1.0,72,0.5,True,True,0.0,0.0,200.0,0.25,2,True,18,18,5.0,-1.0,True,2.0,True,0.5,10.0,0.0,False,0.0,0.0,True
5.099999999999998,1.924588572022,30.123995040344347,23.0,3.2499999999999947,7.700000000000058,0.9085841581300658,1.0080721251472289,15.778520219695757,23.0,0.0056843173958426,baseline,24,10.0,1.0,0,0.05,60.0,14,93915a5,True,0,0.05,10.416667,sum,24,20.0,65.0,360.0,B2,1.0,72,1.0,True,True,0.0,0.0,200.0,0.25,2,True,14,14,5.0,-1.0,True,2.0,True,1.0,10.0,0.0,False,0.0,0.0,True
5.099999999999998,1.924588572022,30.123995040344347,23.0,2.3499999999999917,3.4999999999999982,0.8565122102548188,1.0009825535868204,15.667553012663275,23.0,0.0006944543330292,B2,24,10.0,1.0,0,0.05,60.0,14,93915a5,True,0,0.05,10.416667,sum,24,20.0,65.0,360.0,B2,1.0,72,1.0,True,True,0.0,0.0,200.0,0.25,2,True,14,14,5.0,-1.0,True,2.0,True,1.0,10.0,0.0,False,0.0,0.0,True
