tau_fit,tau_fit_r2,egap_final,egap_late_std,settled,method,N,tau_xy,loss,delay,repeats,seed
19.475477659210625,0.9396504871881934,0.0009575897615219,0.0003632043647615,True,baseline,24,1.0,0.0,0.0,2,0
2.172055529313077,0.9327460206214924,0.0001125675963722,4.269553921560535e-05,True,B2,24,1.0,0.0,0.0,2,0
19.65531640348887,0.9390224425480896,0.000991920222096,0.000370760493218,True,baseline,24,1.0,0.0,0.01,2,0
2.1690101674355104,0.943084627996415,0.0001214921598236,4.541135183081706e-05,True,B2,24,1.0,0.0,0.01,2,0
20.608643894492467,0.9398644412439344,0.0011821621375193,0.0004176799424658,True,baseline,24,1.0,0.0,0.05,2,0
220.9096774722252,0.1339791768991443,0.0155975815615792,1.0503540129605783e-06,True,B2,24,1.0,0.0,0.05,2,0
21.684568056612257,0.9380497085407209,0.0014481494507507,0.0004742053919836006,True,baseline,24,1.0,0.0,0.1,2,0
,0.00014491119091897264,0.1086254866216371,1.3248598373890014e-05,False,B2,24,1.0,0.0,0.1,2,0
