method,N,seed,egap_peak,tau_fit,tau_fit_r2,tau_fit_npts,t_10pct,t_05pct
baseline,8,0,0.30610662418604,2.3925520688480026,0.991152145709911,715,6.099999999999808,7.309999999999782
baseline,12,0,0.2635235834673404,3.474855696305424,0.9945925601279296,1019,7.909999999999769,10.349999999999715
baseline,16,0,0.2339213693982803,4.670280824902596,0.9839962625630492,1307,9.499999999999735,13.240000000000052
baseline,24,0,0.1959266983638267,7.081980599844005,0.9621348428732619,1843,12.289999999999903,18.590000000000888
baseline,32,0,0.1710466729736652,9.288229205700569,0.9509422087354089,2311,14.600000000000264,23.27000000000162
baseline,40,0,0.1541088761736837,12.257849700664696,0.9493861936450096,2933,19.460000000001024,29.93000000000162
baseline,50,0,0.6968018908762038,140.12206305582797,0.006580568805217735,401,2.849999999999877,
dual_pulse,8,0,0.30610662418604,1.7627364416647902,0.9859370646337697,538,4.709999999999836,5.53999999999982
dual_pulse,12,0,0.2635235834673404,2.084268174149871,0.9717263204255826,614,5.029999999999831,6.2999999999998035
dual_pulse,16,0,0.2339213693982803,2.352406651631688,0.9611486988879608,676,5.109999999999827,6.92999999999979
dual_pulse,24,0,0.1959266983638267,3.0165908778764785,0.946087855856901,832,5.669999999999815,8.479999999999755
dual_pulse,32,0,0.1710466729736652,4.601804435889401,0.9198316119538916,1150,8.489999999999757,12.349999999999913
dual_pulse,40,0,0.1541088761736837,11.008137485767834,0.8577295922684729,2328,16.710000000000598,27.0100000000022
dual_pulse,50,0,0.6570698695512385,47.064305054640016,0.3626515785898037,1569,1.6999999999999016,
