scenario,k,mmult,tau_fit,t_settle,egap_final
k1,1,False,2.132895875238163,7.8000000000000576,0.0006599023027577
adj2,2,False,13.69863498235051,25.300000000000306,0.0056223751224746
adj3,3,False,15.417036486118386,29.450000000000188,0.0095068974255024
non2,2,False,1.9229940345193532,7.3000000000000504,0.0001329479556915
non3,3,False,2.463447796492024,8.70000000000007,0.0001187293280142
k1,1,True,2.132895875238163,7.8000000000000576,0.0006599023027577
adj2,2,True,2.187516527969762,8.050000000000061,0.0013721488069593
adj3,3,True,2.230011686172838,8.400000000000066,0.0019424431783779
non2,2,True,1.9229940345193532,7.3000000000000504,0.0001329479556915
non3,3,True,2.463447796492024,8.70000000000007,0.0001187293280142
