tau_fit,tau_fit_r2,egap_final,egap_late_std,settled,method,N,tau_xy,loss,delay,repeats,seed
19.47458311345756,0.939624637523382,0.0001173014515376,4.4518598962029995e-05,True,baseline,24,1.0,0.0,0.0,2,0
2.1708250813315972,0.9319698147347205,1.3792272233056116e-05,5.234482044469898e-06,True,B2,24,1.0,0.0,0.0,2,0
19.49623849272074,0.94005256540127,0.0001173504264123,4.454084412372998e-05,True,baseline,24,1.0,0.0,0.0,2,1
2.1731650277694654,0.9325467807450393,1.371446304583209e-05,5.205365626551485e-06,True,B2,24,1.0,0.0,0.0,2,1
19.50676284037376,0.9401986952951313,0.0001173762303758,4.454627653160276e-05,True,baseline,24,1.0,0.0,0.0,2,2
2.1764184523019625,0.9298751265861862,1.3653565680311503e-05,5.18175600757656e-06,True,B2,24,1.0,0.0,0.0,2,2
19.48252884937584,0.9395957366287475,0.0001176570826351,4.462386918658287e-05,True,baseline,24,1.0,0.05,0.0,2,0
2.172145488902018,0.9336475485527963,1.3896934335434072e-05,5.2706907581609065e-06,True,B2,24,1.0,0.05,0.0,2,0
19.49198930680056,0.939726789678857,0.0001177838099999,4.4674505248337e-05,True,baseline,24,1.0,0.05,0.0,2,1
2.1730690001330273,0.9325448610805147,1.3737604548558564e-05,5.210531681679578e-06,True,B2,24,1.0,0.05,0.0,2,1
19.523437281704297,0.9402365083418323,0.0001178622718702,4.4690624607413514e-05,True,baseline,24,1.0,0.05,0.0,2,2
2.174420679798999,0.9326940678313244,1.3697390846642903e-05,5.193725737964798e-06,True,B2,24,1.0,0.05,0.0,2,2
19.49174455665467,0.9395546590551008,0.0001181525927523,4.4760331037962455e-05,True,baseline,24,1.0,0.1,0.0,2,0
17.79962335083948,0.7870791126999992,0.0024106691988503,0.0001576982755916135,True,B2,24,1.0,0.1,0.0,2,0
19.492803915382243,0.9394953069838582,0.000118070931624,4.4737363382629016e-05,True,baseline,24,1.0,0.1,0.0,2,1
13.664601053148681,0.8120675664348282,6.173570347237594e-05,2.339374066814943e-05,True,B2,24,1.0,0.1,0.0,2,1
19.524099860969194,0.9399601982521991,0.000118213867174,4.478870387337772e-05,True,baseline,24,1.0,0.1,0.0,2,2
19.524099860969194,0.9399601982521991,0.000118213867174,4.478870387337772e-05,True,B2,24,1.0,0.1,0.0,2,2
19.498480648757287,0.9390858925812534,0.0001188083979772,4.492217891722671e-05,True,baseline,24,1.0,0.2,0.0,2,0
19.498480648757287,0.9390858925812534,0.0001188083979772,4.492217891722671e-05,True,B2,24,1.0,0.2,0.0,2,0
19.53775834759708,0.9397415274563029,0.0001193808475307,4.514257364313698e-05,True,baseline,24,1.0,0.2,0.0,2,1
8.973265640382838,0.9601620641094344,0.0002812183844624,2.1123372977997697e-05,True,B2,24,1.0,0.2,0.0,2,1
19.52721695905176,0.9394839329646628,0.0001189080292368,4.495882660447025e-05,True,baseline,24,1.0,0.2,0.0,2,2
7.823491506383394,0.878491649168635,0.0004453505329773,3.060705109228175e-05,True,B2,24,1.0,0.2,0.0,2,2
19.565317510831314,0.9383233464640969,0.0001222994849082,4.59063772976511e-05,True,baseline,24,1.0,0.4,0.0,2,0
19.565317510831314,0.9383233464640969,0.0001222994849082,4.59063772976511e-05,True,B2,24,1.0,0.4,0.0,2,0
19.69209454449598,0.940668883005338,0.0001237739448006,4.648044859395681e-05,True,baseline,24,1.0,0.4,0.0,2,1
19.69209454449598,0.940668883005338,0.0001237739448006,4.648044859395681e-05,True,B2,24,1.0,0.4,0.0,2,1
19.65758068370591,0.9401299744099132,0.000122907586364,4.615246690186579e-05,True,baseline,24,1.0,0.4,0.0,2,2
19.65758068370591,0.9401299744099132,0.000122907586364,4.615246690186579e-05,True,B2,24,1.0,0.4,0.0,2,2
