source_csv,analysis_git_commit,analysis_git_dirty,metric,direction,scope,rate_total,n,base_median,b2_median,ratio_median,ratio_min,ratio_max,n_lose,n_lose_5pct,w_stat,p_value,z,r_effect,note
churn_sweep_results_c3_churn8_dt05.csv,f9c788e,False,egap_avg,lower,rate=6,6.0,8,0.0819451460026622,0.06260828211687405,1.3140401235308834,1.2402413989580479,1.3351951966427527,0,0,0.0,0.0078125,-2.5205041512504174,0.8911327886790067,
churn_sweep_results_c3_churn8_dt05.csv,f9c788e,False,egap_avg,lower,rate=12,12.0,8,0.12928247592202285,0.10244794449457995,1.2260470125284255,1.1447469481383616,1.297666631444257,0,0,0.0,0.0078125,-2.5205041512504174,0.8911327886790067,
churn_sweep_results_c3_churn8_dt05.csv,f9c788e,False,egap_avg,lower,rate=24,24.0,8,0.1981626548384529,0.17185501851967774,1.1545125025240215,1.1137574246319293,1.2008931309200144,0,0,0.0,0.0078125,-2.5205041512504174,0.8911327886790067,
churn_sweep_results_c3_churn8_dt05.csv,f9c788e,False,egap_avg,lower,rate=48,48.0,8,0.28400064001198894,0.24494891637494098,1.135682940745549,1.1052789331191089,1.183130420244289,0,0,0.0,0.0078125,-2.5205041512504174,0.8911327886790067,
churn_sweep_results_c3_churn8_dt05.csv,f9c788e,False,egap_avg,lower,agregado,,32,0.16174916963759062,0.13824562852739913,1.185980166989409,1.1052789331191089,1.3351951966427527,0,0,0.0,4.656612873077393e-10,-4.936520107244654,0.8726617108241094,
churn_sweep_results_c3_churn8_dt05.csv,f9c788e,False,egap_p90,lower,rate=6,6.0,8,0.18111587015518776,0.17075282162399624,1.0449421339122797,0.9957971351376723,1.0834554189547505,1,0,1.0,0.015625,-2.3804761428476167,0.8416254115301731,
churn_sweep_results_c3_churn8_dt05.csv,f9c788e,False,egap_p90,lower,rate=12,12.0,8,0.2294098146811264,0.21123749572827327,1.0526746291028972,1.0259513809109049,1.1049304638501363,0,0,0.0,0.0078125,-2.5205041512504174,0.8911327886790067,
churn_sweep_results_c3_churn8_dt05.csv,f9c788e,False,egap_p90,lower,rate=24,24.0,8,0.2955732590409206,0.2736766113140094,1.0886354877473923,1.0275049712449418,1.122444101444878,0,0,0.0,0.0078125,-2.5205041512504174,0.8911327886790067,
churn_sweep_results_c3_churn8_dt05.csv,f9c788e,False,egap_p90,lower,rate=48,48.0,8,0.41788182326781886,0.3675070472991556,1.1288164621123502,1.0594113263362244,1.1834806835542613,0,0,0.0,0.0078125,-2.5205041512504174,0.8911327886790067,
churn_sweep_results_c3_churn8_dt05.csv,f9c788e,False,egap_p90,lower,agregado,,32,0.257126068639336,0.23990581493354624,1.0681600573201862,0.9957971351376723,1.1834806835542613,1,0,1.0,9.313225746154785e-10,-4.917821167444484,0.8693561740406845,
churn_sweep_results_c3_churn8_dt05.csv,f9c788e,False,egap_max,lower,rate=6,6.0,8,0.2987270363348863,0.2877865788601547,0.9883651896248322,0.9195295917065182,1.1905328706199807,5,2,17.0,0.9453125,-0.14002800840280097,0.04950737714883371,
churn_sweep_results_c3_churn8_dt05.csv,f9c788e,False,egap_max,lower,rate=12,12.0,8,0.38466984832187995,0.3270358679132024,1.0611741324594548,0.8456267369949353,1.4037389150258097,3,1,9.0,0.25,-1.2602520756252087,0.44556639433950335,
churn_sweep_results_c3_churn8_dt05.csv,f9c788e,False,egap_max,lower,rate=24,24.0,8,0.4830073246784121,0.4067489899055789,1.1545026659582303,0.996098486268149,1.3487558534687676,1,0,1.0,0.015625,-2.3804761428476167,0.8416254115301731,
churn_sweep_results_c3_churn8_dt05.csv,f9c788e,False,egap_max,lower,rate=48,48.0,8,0.6144376750377017,0.6295828501192302,0.9841689756555385,0.9082372816100509,1.461327889329953,5,1,15.0,0.7421875,-0.42008402520840293,0.14852213144650114,
churn_sweep_results_c3_churn8_dt05.csv,f9c788e,False,egap_max,lower,agregado,,32,0.44569451657236653,0.3981321589172828,1.0549939289572952,0.8456267369949353,1.461327889329953,14,4,137.0,0.016532947774976492,-2.374765354621481,0.41980317149493135,
churn_sweep_results_c3_churn8_dt05.csv,f9c788e,False,fairness_p95,lower,rate=6,6.0,8,0.2095453455526596,0.20584009298083705,1.0196394633623767,0.8947458150517641,1.0830584151066076,1,1,8.0,0.1953125,-1.4002800840280096,0.49507377148833703,
churn_sweep_results_c3_churn8_dt05.csv,f9c788e,False,fairness_p95,lower,rate=12,12.0,8,0.25211539404721856,0.24667405545720905,0.9784094329659447,0.8460158635450693,1.1296603661339522,6,3,12.0,0.4609375,-0.8401680504168059,0.2970442628930023,
churn_sweep_results_c3_churn8_dt05.csv,f9c788e,False,fairness_p95,lower,rate=24,24.0,8,0.3362327993101054,0.3510716734104935,0.9729894593316056,0.5973510711318485,1.2103778773395815,4,4,13.0,0.546875,-0.7001400420140048,0.24753688574416852,
churn_sweep_results_c3_churn8_dt05.csv,f9c788e,False,fairness_p95,lower,rate=48,48.0,8,0.6687248313880498,0.5240814404960401,0.9868632306287779,0.5719992074398463,1.6302956595033449,4,4,16.0,0.84375,-0.28005601680560194,0.09901475429766741,
