egap_mean_steady20,egap_p90_steady20,egap_max_steady20,gmax_mean_steady20,gmax_max_steady20,frac_gmax_gt125_steady20,frac_gmax_gt150_steady20,n_samples_steady20,t_last_failure,t_close_125_after_last,t_close_110_after_last,censored_125,censored_110,n_failure_start,n_failure_end,n_pulse_injected,n_dual_pulse_event_completed_saida,n_dual_pulse_event_completed_entrada,n_dual_pulse_self_shift_saida,n_dual_pulse_self_shift_entrada,n_landed_events,dp_seq_max,ent_total,ent_legit_id,ent_spur_id,ent_legit_cnt,ent_spur_cnt,order_swap_frac,effort_mean_v2,sat_frac,fairness_p95,assert_alive_deficit_max,assert_alive_excess_max,assert_tol_s,method,N,radius,range_aa,range_at,c_hops,c_hops_post,fd_timeout,rate_total,off_time,tau_xy,seed,dt,budget,git_commit,git_dirty,experiment_seed,control_period,k_e_tau,composition_mode,num_agents,encirclement_radius,sim_duration,protection_angle_deg,dual_pulse_integration,dual_pulse_delta_scale,dual_pulse_ttl_hops,dual_pulse_t_ff,dual_pulse_multiplicity,dual_pulse_consume_ff_only,communication_delay,communication_failure_rate,communication_range,comm_role_aware_ranges,comm_range_agent_agent,comm_range_agent_target,agent_state_timeout,broadcast_repeats,deterministic_failure_enable,deterministic_failure_agent_id,deterministic_failure_agent_ids,deterministic_failure_time,deterministic_failure_off_time,failure_enable,failure_mean_per_min,experiment_reproducible,vm_tau_xy,vm_max_speed_xy,target_motion_speed_xy,target_swarm_spin_enable,target_swarm_omega_ref,init_radius_range,init_angles_equidistant,ent_legit_ang,ent_spur_ang,ent_ang_undef,ent_W,ent_total_2w,ent_legit_ang_2w,ent_spur_ang_2w,ent_ang_undef_2w,ent_legit_id_2w,ent_spur_id_2w,ent_legit_cnt_2w,ent_spur_cnt_2w,ent_W_2w
0.1187834252736073,0.20648269947894676,0.3495717857808165,1.30677874961344,2.190541378329572,0.4737037037037037,0.20407407407407407,2700,149.5999999999958,3.250000000004718,inf,False,True,21,19,180,0,0,0,0,0,0,0,0,0,0,0,0.3741935483870968,0.0017673024642645542,0.0,0.2908600174307031,0.0,0.0,0.35,baseline,24,20.0,8.4,200.0,1.608872490863482,1.5422278611818216,0.25,12.0,8.0,1.0,5,0.05,150.0,50d24bb,False,5,0.05,10.416667,sum,24,20.0,155.0,360.0,B2,1.0,72,1.0,True,True,0.0,0.0,200.0,True,8.4,200.0,0.25,2,False,6,6,15.0,-1.0,True,0.5,True,1.0,10.0,0.0,False,0.0,0.0,True,,,,,,,,,,,,,
0.1639294885145851,0.29799970710294343,0.4681412446637988,1.4035385503662623,2.6275316216197995,0.63,0.3425925925925926,2700,149.5999999999958,inf,inf,True,True,21,19,312,0,748,0,37,45,17,45,10,35,16,29,0.4258064516129032,0.003134345402337762,0.0,0.8948913074814048,0.0,0.0,0.35,B2,24,20.0,8.4,200.0,1.608872490863482,1.5422278611818216,0.25,12.0,8.0,1.0,5,0.05,150.0,50d24bb,False,5,0.05,10.416667,sum,24,20.0,155.0,360.0,B2,1.0,72,1.0,True,True,0.0,0.0,200.0,True,8.4,200.0,0.25,2,False,6,6,15.0,-1.0,True,0.5,True,1.0,10.0,0.0,False,0.0,0.0,True,12.0,33.0,1.0,0.75,45.0,12.0,33.0,1.0,10.0,35.0,20.0,25.0,1.5
0.12881640893426013,0.20518566012294023,0.3049881702779704,1.3276840350926682,2.2228524076001834,0.5081481481481481,0.2174074074074074,2700,154.19999999999553,inf,inf,True,True,25,23,230,0,0,0,0,0,0,0,0,0,0,0,0.3096774193548387,0.001961308693942393,0.0,0.3821908139224358,0.0,0.0,0.35,baseline,24,20.0,8.4,200.0,1.608872490863482,1.5422278611818216,0.25,12.0,8.0,1.0,6,0.05,150.0,50d24bb,False,6,0.05,10.416667,sum,24,20.0,155.0,360.0,B2,1.0,72,1.0,True,True,0.0,0.0,200.0,True,8.4,200.0,0.25,2,False,6,6,15.0,-1.0,True,0.5,True,1.0,10.0,0.0,False,0.0,0.0,True,,,,,,,,,,,,,
0.2457238252420854,0.32429121340023764,0.5219006147407742,1.5847806708803027,3.0740797345742057,0.9203703703703704,0.5544444444444444,2700,154.19999999999553,inf,inf,True,True,25,23,464,44,944,4,45,67,24,63,10,53,19,44,0.8774193548387097,0.004617268555030039,0.0,0.8987569221370154,0.0,0.0,0.35,B2,24,20.0,8.4,200.0,1.608872490863482,1.5422278611818216,0.25,12.0,8.0,1.0,6,0.05,150.0,50d24bb,False,6,0.05,10.416667,sum,24,20.0,155.0,360.0,B2,1.0,72,1.0,True,True,0.0,0.0,200.0,True,8.4,200.0,0.25,2,False,6,6,15.0,-1.0,True,0.5,True,1.0,10.0,0.0,False,0.0,0.0,True,13.0,50.0,0.0,0.75,63.0,13.0,50.0,0.0,10.0,53.0,25.0,38.0,1.5
0.13959121096696778,0.22822304410443858,0.3835073579596813,1.3473338899007696,2.407668838821579,0.5085185185185185,0.23,2700,153.59999999999602,inf,inf,True,True,27,23,242,0,0,0,0,0,0,0,0,0,0,0,0.6516129032258065,0.002339879087901619,0.0,0.8367365230213525,0.0,0.0,0.35,baseline,24,20.0,8.4,200.0,1.608872490863482,1.5422278611818216,0.25,12.0,8.0,1.0,7,0.05,150.0,50d24bb,False,7,0.05,10.416667,sum,24,20.0,155.0,360.0,B2,1.0,72,1.0,True,True,0.0,0.0,200.0,True,8.4,200.0,0.25,2,False,6,6,15.0,-1.0,True,0.5,True,1.0,10.0,0.0,False,0.0,0.0,True,,,,,,,,,,,,,
0.2792074278849846,0.38399197009475,0.5052272349824785,1.6488388006335077,2.8256570702097523,0.932962962962963,0.747037037037037,2700,153.59999999999602,inf,inf,True,True,27,23,632,22,985,2,41,64,38,62,11,51,24,38,0.7096774193548387,0.006187957958599486,0.0,0.9066268768473599,0.0,0.0,0.35,B2,24,20.0,8.4,200.0,1.608872490863482,1.5422278611818216,0.25,12.0,8.0,1.0,7,0.05,150.0,50d24bb,False,7,0.05,10.416667,sum,24,20.0,155.0,360.0,B2,1.0,72,1.0,True,True,0.0,0.0,200.0,True,8.4,200.0,0.25,2,False,6,6,15.0,-1.0,True,0.5,True,1.0,10.0,0.0,False,0.0,0.0,True,14.0,48.0,0.0,0.75,62.0,14.0,48.0,0.0,11.0,51.0,26.0,36.0,1.5
0.10714212312795943,0.19918493116249925,0.2979308892136096,1.2540429481006399,2.144607227808365,0.37592592592592594,0.14296296296296296,2700,154.79999999999595,0.0,inf,False,True,24,22,183,0,0,0,0,0,0,0,0,0,0,0,0.8516129032258064,0.001372763004019297,0.0,0.2792377547250509,0.0,0.0,1.1,baseline,24,20.0,8.4,200.0,1.608872490863482,1.5422278611818216,1.0,12.0,8.0,1.0,0,0.05,150.0,50d24bb,False,0,0.05,10.416667,sum,24,20.0,155.0,360.0,B2,1.0,72,1.0,True,True,0.0,0.0,200.0,True,8.4,200.0,1.0,2,False,6,6,15.0,-1.0,True,0.5,True,1.0,10.0,0.0,False,0.0,0.0,True,,,,,,,,,,,,,
0.15196264242428278,0.31051214925005693,0.409203768258475,1.3696605668632262,2.371599103299458,0.5918518518518519,0.32296296296296295,2700,154.79999999999595,inf,inf,True,True,24,22,282,22,728,4,33,46,13,41,6,35,23,18,0.8903225806451613,0.00280967465178342,0.0,0.8635300025524562,0.0,0.0,1.1,B2,24,20.0,8.4,200.0,1.608872490863482,1.5422278611818216,1.0,12.0,8.0,1.0,0,0.05,150.0,50d24bb,False,0,0.05,10.416667,sum,24,20.0,155.0,360.0,B2,1.0,72,1.0,True,True,0.0,0.0,200.0,True,8.4,200.0,1.0,2,False,6,6,15.0,-1.0,True,0.5,True,1.0,10.0,0.0,False,0.0,0.0,True,9.0,32.0,0.0,1.5,41.0,10.0,31.0,0.0,6.0,35.0,30.0,11.0,3.0
0.15089092309048288,0.2680024101520637,0.450177012658303,1.4050835592146085,2.69965801063242,0.6051851851851852,0.34444444444444444,2700,153.6999999999959,inf,inf,True,True,29,28,248,0,0,0,0,0,0,0,0,0,0,0,0.6967741935483871,0.0030705274934335826,0.0,0.9010291300048442,0.0,0.0,1.1,baseline,24,20.0,8.4,200.0,1.608872490863482,1.5422278611818216,1.0,12.0,8.0,1.0,1,0.05,150.0,50d24bb,False,1,0.05,10.416667,sum,24,20.0,155.0,360.0,B2,1.0,72,1.0,True,True,0.0,0.0,200.0,True,8.4,200.0,1.0,2,False,6,6,15.0,-1.0,True,0.5,True,1.0,10.0,0.0,False,0.0,0.0,True,,,,,,,,,,,,,
0.23656870982235723,0.317762788279442,0.4497314349272585,1.5641227410914356,2.597287324040216,0.882962962962963,0.6107407407407407,2700,153.6999999999959,inf,inf,True,True,29,28,352,43,649,2,33,39,25,37,7,30,19,18,0.6387096774193548,0.0043855832878350745,0.0,0.8955235753543024,0.0,0.0,1.1,B2,24,20.0,8.4,200.0,1.608872490863482,1.5422278611818216,1.0,12.0,8.0,1.0,1,0.05,150.0,50d24bb,False,1,0.05,10.416667,sum,24,20.0,155.0,360.0,B2,1.0,72,1.0,True,True,0.0,0.0,200.0,True,8.4,200.0,1.0,2,False,6,6,15.0,-1.0,True,0.5,True,1.0,10.0,0.0,False,0.0,0.0,True,8.0,29.0,0.0,1.5,37.0,8.0,29.0,0.0,7.0,30.0,26.0,11.0,3.0
