tau_fit,tau_fit_r2,t_settle,t_settle_2pct,egap_settle,egap_peak,egap_final,egap_avg,egap_late_std,overshoot_frac,variant,method,integration,delta_scale,gain_rule,k_e_tau,N,seed,victim,dt,budget,sim_duration,t_fault,t_ff,ttl_hops,vm_tau_xy,agent_state_timeout,settled,adversary_roam_speed_xy,target_swarm_spin_enable,git_commit,git_dirty,experiment_seed,control_period,composition_mode,num_agents,encirclement_radius,protection_angle_deg,dual_pulse_integration,dual_pulse_delta_scale,dual_pulse_ttl_hops,dual_pulse_t_ff,dual_pulse_multiplicity,dual_pulse_consume_ff_only,communication_delay,communication_failure_rate,communication_range,broadcast_repeats,deterministic_failure_enable,deterministic_failure_agent_id,deterministic_failure_agent_ids,deterministic_failure_time,deterministic_failure_off_time,failure_enable,failure_mean_per_min,experiment_reproducible,vm_max_speed_xy,target_motion_speed_xy,target_swarm_omega_ref,init_radius_range,init_angles_equidistant
55.54193420608306,0.9186102293539453,87.8499999999969,129.6999999999964,0.0026740831461074498,0.1551978312325075,0.0026565560036067,0.012141293924694648,0.0002498999387814621,0.9491233879380565,V1_baseline_norm,baseline,,,norm,6.25,40,0,22,0.05,184.8,189.8,5.0,,,1.0,0.25,True,0.0,False,f71600a,False,0,0.05,sum,40,20.0,360.0,B2,1.0,120,1.0,True,True,0.0,0.0,200.0,2,True,22,22,5.0,-1.0,True,2.0,True,10.0,0.0,0.0,0.0,True
12.386776540718701,0.9210717524544731,29.200000000000202,46.14999999999924,1.8223635305052886e-06,0.1557324924763204,1.7772130405350034e-06,0.0023725956316928217,9.81613918814496e-07,0.9499994148989633,V2_baseline_fixed,baseline,,,fixed,25.0,40,0,22,0.05,184.8,189.8,5.0,,,1.0,0.25,True,0.0,False,f71600a,False,0,0.05,sum,40,20.0,360.0,B2,1.0,120,1.0,True,True,0.0,0.0,200.0,2,True,22,22,5.0,-1.0,True,2.0,True,10.0,0.0,0.0,0.0,True
42.36426737505992,0.7375031172885592,57.24999999999861,106.19999999999584,0.00154408754318575,0.1551978312325075,0.0015339650801286,0.0068836713678545585,0.00014429816732563957,0.949497543142747,V3_A_s05,dual_pulse,A,0.5,norm,6.25,40,0,22,0.05,184.8,189.8,5.0,1.0,120,1.0,0.25,False,0.0,False,f71600a,False,0,0.05,sum,40,20.0,360.0,A,0.5,120,1.0,True,True,0.0,0.0,200.0,2,True,22,22,5.0,-1.0,True,2.0,True,10.0,0.0,0.0,0.0,True
2.704137449081407,0.9900609795903196,8.850000000000074,20.900000000000247,0.0002272087873427,0.1551978312325075,0.000225716031079,0.0011713450242533353,2.1233506168046247e-05,0.9499266929487158,V4_Bmin_s05,dual_pulse,B,0.5,norm,6.25,40,0,22,0.05,184.8,189.8,5.0,1.0,120,1.0,0.25,True,0.0,False,f71600a,False,0,0.05,sum,40,20.0,360.0,B,0.5,120,1.0,True,True,0.0,0.0,200.0,2,True,22,22,5.0,-1.0,True,2.0,True,10.0,0.0,0.0,0.0,True
53.41293782716827,0.872032932798766,76.8499999999975,121.54999999999498,0.00218005470569875,0.1551978312325075,0.0021657712371439,0.009743075733399479,0.00020373008838706097,0.949287646587481,V5_Bmin_s10,dual_pulse,B,1.0,norm,6.25,40,0,22,0.05,184.8,189.8,5.0,1.0,120,1.0,0.25,True,0.0,False,f71600a,False,0,0.05,sum,40,20.0,360.0,B,1.0,120,1.0,True,True,0.0,0.0,200.0,2,True,22,22,5.0,-1.0,True,2.0,True,10.0,0.0,0.0,0.0,True
2.767460912405376,0.964339226511263,9.050000000000074,28.650000000000233,0.00031856512707945,0.1551978312325075,0.0003164737500448,0.001579426675100612,2.9770839961986204e-05,0.9498971569484121,V6_B2_s10,dual_pulse,B2,1.0,norm,6.25,40,0,22,0.05,184.8,189.8,5.0,1.0,120,1.0,0.25,True,0.0,False,f71600a,False,0,0.05,sum,40,20.0,360.0,B2,1.0,120,1.0,True,True,0.0,0.0,200.0,2,True,22,22,5.0,-1.0,True,2.0,True,10.0,0.0,0.0,0.0,True
