tau_fit,tau_fit_r2,t_settle,t_settle_2pct,egap_settle,egap_peak,egap_final,egap_avg,egap_late_std,overshoot_frac,sec_per_hop,c_ticks_per_hop,hop_fit_r2,t_dissem,t_apply_first,n_with_shift,coverage,max_hop,line_half_N_dt,line_N_dt,grid,method,N,dt,seed,victim,t_fault,analysis_t0,k_e_tau,agent_state_timeout,budget,sim_duration,vm_tau_xy,t_ff,ttl_hops,broadcast_repeats,encirclement_radius,adversary_roam_speed_xy,target_swarm_spin_enable,git_commit,git_dirty,experiment_seed,control_period,composition_mode,num_agents,protection_angle_deg,dual_pulse_integration,dual_pulse_delta_scale,dual_pulse_ttl_hops,dual_pulse_t_ff,dual_pulse_multiplicity,dual_pulse_consume_ff_only,communication_delay,communication_failure_rate,communication_range,deterministic_failure_enable,deterministic_failure_agent_id,deterministic_failure_agent_ids,deterministic_failure_time,deterministic_failure_off_time,failure_enable,failure_mean_per_min,experiment_reproducible,vm_max_speed_xy,target_motion_speed_xy,target_swarm_omega_ref,init_radius_range,init_angles_equidistant
6.980754297958201,0.7457337466150085,7.96999999999983,27.480000000002168,0.00251009867244745,0.1138652434256737,0.0025010825083997,0.0038821780316473016,0.00012472145509978113,0.9488729309822146,0.006598261280974492,0.6598261280974492,0.9907796320845405,0.5299999999999265,0.27999999999993186,74,1.0,74.0,0.375,0.75,A,B2,75,0.01,0,39,5.099999999999998,5.0,3.333333,0.05,90.0,95.0,1.0,1.0,225,2,20.0,0.0,False,5646696,False,0,0.01,sum,75,360.0,B2,1.0,225,1.0,True,True,0.0,0.0,200.0,True,39,39,5.0,-1.0,True,2.0,True,10.0,0.0,0.0,0.0,True
7.2727807167075875,0.7371071450580053,8.009999999999831,27.890000000002086,0.00252402113189295,0.1138763989726909,0.0025149101135966,0.0039139208250411955,0.0001261655332378137,0.9488666514443448,0.006259388491335846,0.6259388491335847,0.9731723869759804,0.5499999999999261,0.3099999999999312,74,1.0,74.0,0.375,0.75,A,B2,75,0.01,1,40,5.099999999999998,5.0,3.333333,0.05,90.0,95.0,1.0,1.0,225,2,20.0,0.0,False,5646696,False,1,0.01,sum,75,360.0,B2,1.0,225,1.0,True,True,0.0,0.0,200.0,True,40,40,5.0,-1.0,True,2.0,True,10.0,0.0,0.0,0.0,True
7.754170079790974,0.7241382471361795,8.079999999999826,28.450000000001975,0.0025483324122087,0.1138833519700541,0.002539047816568,0.003964031113133699,0.00012829011902499966,0.9488555566692631,0.005747826601218167,0.5747826601218168,0.9798086252757247,0.509999999999927,0.27999999999993186,74,1.0,74.0,0.375,0.75,A,B2,75,0.01,2,41,5.099999999999998,5.0,3.333333,0.05,90.0,95.0,1.0,1.0,225,2,20.0,0.0,False,5646696,False,2,0.01,sum,75,360.0,B2,1.0,225,1.0,True,True,0.0,0.0,200.0,True,41,41,5.0,-1.0,True,2.0,True,10.0,0.0,0.0,0.0,True
4.644225715329898,0.9072002933972783,9.35000000000008,27.250000000000313,0.0023653905914152,0.1147698825683202,0.0023556545019919,0.003752637075001223,0.00013205522832144634,0.9489478220354836,0.03265125081317629,0.6530250162635257,0.981719368623253,2.549999999999983,1.399999999999987,74,1.0,74.0,1.875,3.75,A,B2,75,0.05,0,39,5.099999999999998,5.0,3.333333,0.25,90.0,95.0,1.0,1.0,225,2,20.0,0.0,False,5646696,False,0,0.05,sum,75,360.0,B2,1.0,225,1.0,True,True,0.0,0.0,200.0,True,39,39,5.0,-1.0,True,2.0,True,10.0,0.0,0.0,0.0,True
4.517334677963733,0.9227567771717332,9.700000000000086,27.550000000000296,0.0022674320161985,0.1142646961226163,0.0022574123324927,0.003663341799336083,0.00013160882449040094,0.9489877288368205,0.03360340646992713,0.6720681293985425,0.8490467701606478,2.849999999999982,1.399999999999987,74,1.0,74.0,1.875,3.75,A,B2,75,0.05,1,40,5.099999999999998,5.0,3.333333,0.25,90.0,95.0,1.0,1.0,225,2,20.0,0.0,False,5646696,False,1,0.05,sum,75,360.0,B2,1.0,225,1.0,True,True,0.0,0.0,200.0,True,40,40,5.0,-1.0,True,2.0,True,10.0,0.0,0.0,0.0,True
5.264608747764099,0.8737823338163775,9.500000000000082,28.90000000000022,0.0023761003503232,0.114013643391366,0.0023660097733901,0.003818087285811957,0.0001373401061886551,0.9489357969167014,0.02824531314684477,0.5649062629368954,0.9401201267244119,2.5999999999999828,1.4999999999999867,74,1.0,74.0,1.875,3.75,A,B2,75,0.05,2,41,5.099999999999998,5.0,3.333333,0.25,90.0,95.0,1.0,1.0,225,2,20.0,0.0,False,5646696,False,2,0.05,sum,75,360.0,B2,1.0,225,1.0,True,True,0.0,0.0,200.0,True,41,41,5.0,-1.0,True,2.0,True,10.0,0.0,0.0,0.0,True
