tb,mean
-0.0,0.0008444191536494085
0.25,0.07324791292530203
0.5,0.14656008032027418
0.75,0.15469970859993876
1.0,0.14972495698836877
1.25,0.14019532589890854
1.5,0.12783581852959588
1.75,0.11362120049432674
2.0,0.09850993737073202
2.25,0.08323527617893417
2.5,0.06921251903704147
2.75,0.07361705581765829
3.0,0.08563782450539388
3.25,0.0917513648060847
3.5,0.09225567940784829
3.75,0.08803903199345459
4.0,0.08030427371325115
4.25,0.07024803022340789
4.5,0.05911870808097293
4.75,0.04818456612418088
5.0,0.04047024217917538
5.25,0.04526781665865847
5.5,0.049574155712535845
5.75,0.05084911014191981
6.0,0.04956065192689724
6.25,0.0461735588004141
6.5,0.04173813085063634
6.75,0.03956152501694876
7.0,0.03793044134903007
7.25,0.036258249625589885
7.5,0.03468193607626196
7.75,0.033327007026447523
8.0,0.03364219744292022
8.25,0.034186699775618015
8.5,0.034055644300652596
8.75,0.03337079628445921
9.0,0.03227902983218889
9.25,0.03093442667538793
9.5,0.029806492868933023
9.75,0.029680777078753356
10.0,0.02963901367091373
10.25,0.02954067363945125
10.5,0.02936091669500089
10.75,0.029106990491408472
11.0,0.02880767241341115
11.25,0.028446372221233904
11.5,0.028042527748167057
11.75,0.02762448399045135
12.0,0.02720137063421441
12.25,0.026792668887995735
12.5,0.02640930464012761
12.75,0.026058022652769495
13.0,0.02574214163768626
13.25,0.02547742937201871
13.5,0.025233617731858747
13.75,0.025016898621754952
14.0,0.02481975158155383
14.25,0.024622668499604573
14.5,0.024436846741692258
14.75,0.024242617714003552
15.0,0.02404414715380043
15.25,0.02383978540874444
15.5,0.02362079455394988
15.75,0.023383548482349054
16.0,0.023147941932335325
16.25,0.022904212302681803
16.5,0.022658801212138542
16.75,0.02241159154315392
17.0,0.022165876523737377
17.25,0.021924158134632978
17.5,0.02168880016863267
17.75,0.02145918685336937
18.0,0.021228341238880153
18.25,0.021007630704014433
18.5,0.020790031232278093
18.75,0.02057597154058306
19.0,0.020364279928686065
19.25,0.020153601861603174
19.5,0.019949856497403926
19.75,0.019743834691128174
20.0,0.019537048663686246
20.25,0.01933398322298432
20.5,0.01912921309755841
20.75,0.018920901270939865
21.0,0.01872503964170012
21.25,0.018526557154331515
21.5,0.018328274461221285
21.75,0.018136109464240113
22.0,0.017945585574780033
22.25,0.017756663774691615
22.5,0.017573332035014745
22.75,0.017390076326119858
23.0,0.0172082635380556
23.25,0.017030076131359366
23.5,0.016853308122229013
23.75,0.01667840353491187
24.0,0.016504310448601154
24.25,0.016335669520573227
24.5,0.016166608441643845
24.75,0.015997130784992562
25.0,0.015828856119955593
25.25,0.015663334648039796
25.5,0.015500973345416285
25.75,0.015337537925400054
26.0,0.01517590758607529
26.25,0.015019056194203038
26.5,0.014863465010120548
26.75,0.014706674029039826
27.0,0.014554952204985438
27.25,0.014404064238017522
27.5,0.014251022664365343
27.75,0.014101769804349669
28.0,0.013952569032646538
