tb,mean
-0.0,0.00028754530668386943
0.25,0.004582554038436723
0.5,0.009217791086427798
0.75,0.011592645347899977
1.0,0.0055515048157676865
1.25,0.003912738935336046
1.5,0.0035735870889290373
1.75,0.003361853747791224
2.0,0.0032487093639234116
2.25,0.0031946447391473726
2.5,0.002538010504758393
2.75,0.0026825867868288077
3.0,0.0044253402889615325
3.25,0.005106397939948507
3.5,0.0052709884556686095
3.75,0.004827260376500085
4.0,0.003980470196080836
4.25,0.003020569262526287
4.5,0.0026153795411240775
4.75,0.002249329859027514
5.0,0.0021666414802258443
5.25,0.0026754592871100578
5.5,0.0028983259458860034
5.75,0.0028005020981348755
6.0,0.0025134998211627456
6.25,0.002261586845585009
6.5,0.0018926427930051378
6.75,0.0014472769102276478
7.0,0.0011142471746529573
7.25,0.0012436227866188202
7.5,0.0014299116974160653
7.75,0.0014884782752104234
8.0,0.0014907662869688193
8.25,0.0013703653461923076
8.5,0.00115241479468716
8.75,0.0008913881289426176
9.0,0.000718043413723492
9.25,0.0006419280266153325
9.5,0.0006890321687424673
9.75,0.0007792627472781255
10.0,0.0008047547939559592
10.25,0.0007598585334254276
10.5,0.0006653761656071167
10.75,0.0005781233211880008
11.0,0.0004762828474271204
11.25,0.0004041233399299637
11.5,0.0003611243790588695
11.75,0.0004018859450071358
12.0,0.00042702520005382717
12.25,0.0004315591741252339
12.5,0.00041661260218188776
12.75,0.00037476750683120523
13.0,0.00031812660037989826
13.25,0.0002696958613767898
13.5,0.0002361249888975285
13.75,0.00022917117489356956
14.0,0.0002546279536892699
14.25,0.0002681015650333811
14.5,0.00026426111533939684
14.75,0.00024888556547068743
15.0,0.00022555936074478798
15.25,0.0002095675811902457
15.5,0.00019589432334290562
15.75,0.00017970155859566738
16.0,0.0001789575248171151
16.25,0.00018699893222347112
16.5,0.00019101076990881878
16.75,0.00019240699246037812
17.0,0.00018861545189580796
17.25,0.00018080113588852853
17.5,0.00017063068590362357
17.75,0.00016393010657855133
18.0,0.0001584228851813808
18.25,0.00015602594490064285
18.5,0.00015851900176874856
18.75,0.00016116195405960982
19.0,0.00016174299935370158
19.25,0.0001604864215233964
19.5,0.00015773858363512651
19.75,0.0001540682196817664
20.0,0.0001517755389381217
20.25,0.00015036281209090995
20.5,0.00014899681804284414
20.75,0.00014869119097585658
21.0,0.00014885463159276647
21.25,0.000148487635459364
21.5,0.00014765013857060108
21.75,0.00014648430591813124
22.0,0.00014502979371864888
22.25,0.0001436687979625056
22.5,0.00014306565044441285
22.75,0.0001426484458580189
23.0,0.0001421443151611391
23.25,0.0001415467127161151
23.5,0.00014090881912055104
23.75,0.00014021004704522832
24.0,0.00013945696267466854
24.25,0.00013868275365716906
24.5,0.00013790213848196428
24.75,0.000137103830420563
25.0,0.0001363560823390017
25.25,0.0001356389974050629
25.5,0.00013498389388205456
25.75,0.00013436238231464626
26.0,0.00013375847948514832
26.25,0.00013319573967245186
26.5,0.00013267320277606277
26.75,0.0001321316276474992
27.0,0.00013160086799477282
27.25,0.00013108451650215122
27.5,0.0001305488923120795
27.75,0.00013002129580045381
28.0,0.00012944550860130122
28.25,0.00012887101331564133
28.5,0.00012829530820059016
28.75,0.00012772453693419013
29.0,0.00012715296118246612
29.25,0.0001265433737898547
29.5,0.00012597482999907638
29.75,0.0001254451504810416
30.0,0.00012490984819013809
30.25,0.00012438459187621013
30.5,0.00012387668337871744
30.75,0.0001233611563955899
31.0,0.0001228570469447048
31.25,0.0001223686110445308
31.5,0.00012188565273134042
31.75,0.00012140039320227595
32.0,0.00012089587808968492
32.25,0.00012041858223922046
32.5,0.00011991855926070239
32.75,0.0001194290609203596
33.0,0.00011894104661280121
33.25,0.00011844944550980978
33.5,0.00011796880779101293
33.75,0.0001174814795846209
34.0,0.00011702174401919004
34.25,0.00011654925243642005
34.5,0.00011608509479663416
34.75,0.00011563621504219041
35.0,0.00011515809404651192
35.25,0.0001147032525989809
35.5,0.00011426013212580024
35.75,0.00011378710413615022
36.0,0.00011334573010295645
36.25,0.00011290261142704441
36.5,0.00011246377496043278
36.75,0.00011202926908561742
37.0,0.00011159460410748261
37.25,0.00011114603117657145
37.5,0.00011071498160298459
37.75,0.00011027634628349667
38.0,0.00010984804300530422
38.25,0.00010942432432824121
38.5,0.00010899537522951336
38.75,0.00010856732010476846
39.0,0.00010816330507717658
39.25,0.00010774948498307653
39.5,0.00010733230118596984
39.75,0.0001069311222717345
40.0,0.00010662240705660028
