tb,mean
-0.0,0.000502673887036688
0.25,0.021684386263093665
0.5,0.41824462120844047
0.75,0.48389200449092357
1.0,0.43587676745835924
1.25,0.37771805462437474
1.5,0.312262430480076
1.75,0.24430809511778157
2.0,0.17838711648786448
2.25,0.11898201646902737
2.5,0.06527153303608524
2.75,0.02814093453228848
3.0,0.018111580197007506
3.25,0.020007083464223804
3.5,0.019743967498774773
3.75,0.017686320643698905
4.0,0.014315194613477718
4.25,0.01079552655360834
4.5,0.009551224716209046
4.75,0.008339452437442633
5.0,0.008598473380459994
5.25,0.01048529455179357
5.5,0.011132893432879223
5.75,0.010619746218579655
6.0,0.009468712486920728
6.25,0.008513899157931689
6.5,0.007119855180362827
6.75,0.005483073849409087
7.0,0.004333317859730728
7.25,0.00495355894669883
7.5,0.005621517621443438
7.75,0.005820880007381433
8.0,0.00579843357235159
8.25,0.005317084348097304
8.5,0.004487672094780054
8.75,0.0034905341136738004
9.0,0.0028079651566243887
9.25,0.002503151813215834
9.5,0.0027135312404534644
9.75,0.0030995797830118926
10.0,0.003194877495845054
10.25,0.0030211497789944123
10.5,0.002639643990455407
10.75,0.0022646503878995337
11.0,0.0018714368752357291
11.25,0.0016009724600905884
11.5,0.0014401231141940893
11.75,0.0015829295393788407
12.0,0.001688278566500792
12.25,0.0016638547142318466
12.5,0.0015928085412028707
12.75,0.0014343575721511054
13.0,0.0012422477817859371
13.25,0.001080737415379973
13.5,0.000926361318991969
13.75,0.0008669783752692343
14.0,0.0009231044105450691
14.25,0.0009778872531263569
14.5,0.0009678880881155814
14.75,0.0009028888772005292
15.0,0.0008278065586585821
15.25,0.0007368663035657485
15.5,0.0006627980414181808
15.75,0.000612142621395284
16.0,0.0005893999318200663
16.25,0.0006106677289413278
16.5,0.0006174936954857155
16.75,0.0005995252770349858
17.0,0.0005731087267727785
17.25,0.0005464946285873637
17.5,0.0005141207378573593
17.75,0.00047613572141466627
18.0,0.00045082908731234597
18.25,0.00044295527180046205
18.5,0.0004510320546254908
18.75,0.00045731097586497953
19.0,0.00045803303362286637
19.25,0.00044892868519246686
19.5,0.00043152644096536286
19.75,0.0004093385203997067
20.0,0.0003940415054265914
20.25,0.00038172406623191194
20.5,0.000378752498642221
20.75,0.0003834699935231344
21.0,0.00038513716660626987
21.25,0.000382072469617353
21.5,0.0003763613319881002
21.75,0.00036925179044065777
22.0,0.00036064194889260845
22.25,0.0003537332655206644
22.5,0.0003489630734580846
22.75,0.00034627336745389096
23.0,0.0003455577603396886
23.25,0.00034547156183724396
23.5,0.00034420896965911926
23.75,0.0003423786702055928
24.0,0.0003397112540353421
24.25,0.0003366065299087143
24.5,0.0003335045922864865
24.75,0.0003305434805553824
25.0,0.00032889300555920617
25.25,0.0003273827343754578
25.5,0.0003257098936528527
25.75,0.00032399684184306933
26.0,0.0003223127266373656
26.25,0.0003208060423295581
26.5,0.00031917302646505813
26.75,0.0003173667055951106
27.0,0.00031569555154849585
27.25,0.00031406065218714713
27.5,0.0003125388432212951
27.75,0.0003111727866450269
28.0,0.00030995624917238104
28.25,0.0003086825170090642
28.5,0.0003072256793729118
28.75,0.0003058960825971369
29.0,0.00030456927000247944
29.25,0.0003033378858730686
29.5,0.00030208497030510974
29.75,0.0003008492961624451
30.0,0.0002996184592475581
30.25,0.0002983493986301267
30.5,0.00029720333653223996
30.75,0.0002959734219546038
31.0,0.000294788216003021
31.25,0.000293508335591911
31.5,0.0002923140216064684
31.75,0.00029113857752058553
32.0,0.0002900513370861299
32.25,0.00028892465071859525
32.5,0.00028784459287126374
32.75,0.00028674778054081076
33.0,0.00028567953494953107
33.25,0.0002846038509029623
33.5,0.0002835248196203817
33.75,0.00028254621722381104
34.0,0.0002815805194836015
34.25,0.000280604679917986
34.5,0.0002796450999443501
34.75,0.00027870361221464605
35.0,0.00027778234622584033
35.25,0.000276825785611957
35.5,0.0002759560739852884
35.75,0.00027504051981193096
36.0,0.0002741712726866785
36.25,0.00027328330020109926
36.5,0.0002723696197235104
36.75,0.00027157634723870105
37.0,0.00027069606354928894
37.25,0.0002698938023582503
37.5,0.000269151562192965
37.75,0.0002684162389816069
38.0,0.0002676446783295375
38.25,0.00026693699738789705
38.5,0.0002661938181177119
38.75,0.0002654151514646651
39.0,0.00026466683573845423
39.25,0.0002640161334291772
39.5,0.00026334637083153635
39.75,0.00026277260658533956
40.0,0.0002622654120102974
