method,rate_total,pi2,p90_avg_med,p90_avg_q25,p90_avg_q75,max_avg_med,max_avg_q25,max_avg_q75,p90_avg_from_medians,max_avg_from_medians
baseline,6.0,0.8,2.103504423340488,1.9687933376017441,2.260336223115199,3.6273734730983787,3.095605517251042,4.055796644079093,2.2102086455408076,3.645451267182822
B2,6.0,0.8,2.6770852477963,2.4456430006925562,2.7608508704684764,4.341420470165366,4.059386335551076,5.472380243660905,2.7273200262106423,4.596621551170002
baseline,12.0,1.6,1.7696381819918434,1.7276393716277014,1.8125304250047956,2.9782724623511374,2.655231629523275,3.432040384744607,1.774485003052507,2.9754214218011636
B2,12.0,1.6,2.0226650802292285,1.9532483466380688,2.120209024794069,3.2725622143034916,3.1250490453617465,3.4115555032658644,2.0619007708783155,3.1922150271204743
baseline,24.0,3.2,1.50682606323031,1.4767764029745392,1.54586721740479,2.5347427061088874,2.4561089777144063,2.706003291865606,1.4915689299877375,2.4374286117238975
B2,24.0,3.2,1.6310482825868542,1.6045750649314212,1.6419072336201335,2.5465970436038186,2.4564725658218087,2.615887554782401,1.592485419811426,2.3668147337751755
baseline,48.0,6.4,1.43618817043397,1.4290561114316827,1.4696816624015536,2.1555819408227483,2.0558658870436015,2.334322269054571,1.4714115547421942,2.1635080646711344
B2,48.0,6.4,1.4920434615128906,1.4726952898773424,1.5090326628551414,2.4182003580084652,2.29595586551296,2.5135292176731294,1.5003415925980912,2.5702618302484495
