rate_total,seed,t_fail,node,w_e,gap_next,gap_prev,gap_prev_b,gap_rad_base,gap_rad_b2,alive_pre_base,w_clip_floor,w_full,d_pico,d_gmax_pre,d_egap_pre,d_arco_m,pico_base,pico_b2,pre_base,pre_b2,pre_bar,arco_base,arco_b2,isolated,m_unstable,peak_late,floor_base,floor_b2,rel_base,rel_b2,both_above,any_at_floor,log_ok,dl_pico,dl_pre,dl_egap_pre,l_pre_bar,dl_rel
6.0,0,71.90000000000019,15,1.5,3.499999999999801,53.60000000000021,53.60000000000021,0.5255906803144357,0.5239745154852269,24.0,False,True,0.005916074292656726,0.0037725201596787716,0.0026722954617321003,0.032323296584175765,1.923958160746715,1.9180420864540584,1.008489136156177,1.0047166159964982,1.0066028760763377,10.511813606288714,10.479490309704538,True,False,False,1.9130434782608696,1.9130434782608696,1.0057054022085101,1.0026129088282578,False,True,True,0.003079686927594305,0.0037477784586393828,0.5897238089811987,0.006581172574735037,0.0030796869275942483
6.0,0,75.39999999999999,24,1.5,3.1999999999998465,3.499999999999801,3.499999999999801,0.5199968773691168,0.537250041887325,23.0,False,True,-0.06041038117511133,0.1471531634450698,0.0494141850915286,-0.3450632903641626,1.8207216153641916,1.881131996539303,1.242167934068533,1.0950147706234632,1.168591352345998,10.399937547382336,10.745000837746499,True,False,False,1.9090909090909092,1.9090909090909092,0.9537113223336241,0.985354855330111,False,True,True,-0.03264080699073513,0.12609033465511726,0.8607205655896055,0.1557990510988376,-0.0326408069907351
6.0,0,78.59999999999984,21,1.3000000000003524,1.3000000000003524,3.1999999999998465,3.1999999999998465,0.5624947516387486,0.5621655558449099,22.0,False,False,0.00110025589452456,0.08184834541103636,0.041494551859695306,0.006583915876774427,1.880000223917652,1.8788999680231275,1.18522394411738,1.1033755987063436,1.1442997714118617,11.249895032774972,11.243311116898198,True,False,False,1.9047619047619047,1.9047619047619047,0.9870001175567674,0.986422483212142,False,True,True,0.0005854137485777899,0.07155753213794082,0.7486070158156828,0.13479289657909108,0.0005854137485778142
6.0,0,85.29999999999943,12,1.3000000000004093,1.3000000000004093,1.8999999999994373,1.8999999999994373,0.5141016074980111,0.532496808838431,23.0,False,False,-0.0644091188949667,0.1856173061031674,0.024624192136546402,-0.3679040268083966,1.8000798658655532,1.86448898476052,1.256926994900992,1.0713096887978246,1.1641183418494083,10.282032149960223,10.64993617676862,True,False,False,1.9090909090909092,1.9090909090909092,0.9428989773581469,0.9766370872555103,False,False,True,-0.03515597889766753,0.15978794087502995,0.2932290501872523,0.1519640123968847,-0.03515597889766747
6.0,0,101.89999999999849,8,1.5,2.6999999999998323,8.599999999999042,8.599999999999042,0.5356093498730186,0.5228360300242567,24.0,False,True,0.04675755085335842,0.03253740430552199,0.014883932978109301,0.2554663969752369,1.9606321387661287,1.9138745879127703,1.0442234941399564,1.0116860898344344,1.0279547919871954,10.712186997460371,10.456720600485134,True,False,False,1.9130434782608696,1.9130434782608696,1.0248758907186581,1.0004344436816754,False,True,True,0.024137173695285008,0.031655206559983,1.2994024520671896,0.02757118939981911,0.024137173695284904
6.0,0,104.59999999999832,23,1.3999999999999204,1.3999999999999204,2.6999999999998323,2.6999999999998323,0.5152087801852252,0.5365689528864381,23.0,False,False,-0.07479069555528128,0.1390868901498572,0.049125367712551694,-0.42720345402425863,1.8039565299981355,1.8787472255534168,1.2764898413612904,1.1374029512114332,1.2069463962863618,10.304175603704504,10.731379057728763,True,False,False,1.9090909090909092,1.9090909090909092,0.9449296109514043,0.9841056895755992,False,True,True,-0.040622860435869046,0.11536644888365644,0.6494848448791588,0.18809353043025556,-0.04062286043586904
6.0,0,105.99999999999824,7,1.1999999999999602,1.1999999999999602,1.3999999999999204,1.3999999999999204,0.6327064160132441,0.5537534946271414,22.0,False,False,0.26388070191302493,-0.06560484491173924,0.004987790085615007,1.5790584277220532,2.114665426323763,1.850784724410738,1.556392533492784,1.6219973784045232,1.5891949559486536,12.654128320264881,11.075069892542828,True,False,False,1.9047619047619047,1.9047619047619047,1.1101993488199757,0.9716619803156376,False,False,True,0.13328688461082372,-0.04128767459499816,0.03475401876582218,0.4632275709969733,0.13328688461082386
6.0,0,107.1999999999982,22,1.5,2.700000000000287,1.1999999999999602,1.1999999999999602,0.6546553499281051,0.6328916103728881,21.0,False,True,0.06927613460754767,0.2387463188847434,0.0642308975706771,0.43527479110434086,2.083832699252248,2.0145565646447,1.9342931802665588,1.6955468613818154,1.8149200208241871,13.093106998562103,12.657832207457762,True,False,False,1.9,1.9,1.0967540522380252,1.0602929287603686,True,False,True,0.03380973799240228,0.13173665735266937,0.32724828405575357,0.5960414010842894,0.03380973799240229
6.0,0,112.69999999999833,23,1.299999999999912,1.299999999999912,0.10000000000000853,0.10000000000000853,0.3799142502801249,0.3253957218468173,22.0,False,False,0.1304264215025197,0.08447687752378519,0.024816594388744506,1.0903705686661516,1.2697698485458009,1.1393434270432812,1.2215020419300675,1.1370251644062823,1.179263603168175,7.598285005602498,6.507914436936346,False,True,True,1.9047619047619047,1.9090909090909092,0.6666291704865455,0.596798937975052,False,False,True,0.1083835071319352,0.07166593656518064,0.11337375397922878,0.16489017855617188,0.11065365566647445
6.0,0,121.59999999999737,25,1.5,7.999999999999986,0.8999999999990393,0.8999999999990393,0.5497585574629698,0.5229935253838649,24.0,False,True,0.09797510462026171,0.024617371736463722,0.006880116324908606,0.5353006415820971,2.012426214327933,1.914451109707671,1.0929374917078325,1.0683201199713688,1.0806288058396007,10.995171149259395,10.459870507677298,False,False,False,1.9130434782608696,1.9130434782608696,1.0519500665805104,1.0007358073471917,False,True,True,0.049910111187672634,0.02278158447818482,0.05480940724625061,0.07754309933664301,0.049910111187672704
