egap_avg,egap_p90,egap_max,effort_mean_v2,sat_frac,fairness_p95,method,N,tau_xy,rate_total,off,seed
0.080685662383165,0.18263915747566675,0.3214917599317184,0.00044586455628945756,0.0,0.21987260339677003,baseline,24,1.0,6.0,8.0,0
0.06096968193902967,0.16964673508938483,0.2700402213710392,0.0010716938711175386,0.0,0.2128981667232328,B2,24,1.0,6.0,8.0,0
0.09747090669320416,0.1891356442279763,0.277508915157644,0.000498572075028771,0.0,0.22607723849300657,baseline,24,1.0,6.0,8.0,1
0.0775801872771133,0.18993391078779084,0.3001235939071722,0.0016088991995224877,0.0,0.22461289034863274,B2,24,1.0,6.0,8.0,1
0.07727519108224608,0.17458413373034365,0.2717568987718449,0.0003829686205821569,0.0,0.14248429278650349,baseline,24,1.0,6.0,8.0,2
0.06166345260526978,0.16979908374118408,0.2542381178844289,0.0010707819704782711,0.0,0.14165841621940292,B2,24,1.0,6.0,8.0,2
0.12667728120948737,0.21896466467417675,0.3199451575121286,0.0008027075139745885,0.0,0.2495386012051757,baseline,24,1.0,6.0,8.0,3
0.10213921363688674,0.20974491967777278,0.3227657325216559,0.001905108264087823,0.0,0.2788932867942378,B2,24,1.0,6.0,8.0,3
0.10324429410577986,0.20424273497531698,0.5260356568556159,0.0005770916516412897,0.0,0.26040634105995064,baseline,24,1.0,6.0,8.0,4
0.07732524380358755,0.1885105112791419,0.4510732272454366,0.0014600080943774404,0.0,0.24227196292469494,B2,24,1.0,6.0,8.0,4
0.06775914390607311,0.1662349786814962,0.2532840249488325,0.00033265813168893504,0.0,0.15389008052463252,baseline,24,1.0,6.0,8.0,5
0.051307346847060294,0.1586099032298702,0.2754495638131371,0.0008076700690905569,0.0,0.1442461429612223,B2,24,1.0,6.0,8.0,5
0.07942567008188016,0.16270858863630971,0.252449918296549,0.0003999974109341322,0.0,0.19921808770854926,baseline,24,1.0,6.0,8.0,6
0.06022269208264729,0.15973406428705184,0.2561723204408277,0.0010205734134338474,0.0,0.1987820192384413,B2,24,1.0,6.0,8.0,6
0.08320462962215947,0.17959258283470883,0.3552585002101087,0.0004383220525606265,0.0,0.19828673424495413,baseline,24,1.0,6.0,8.0,7
0.06355311162847849,0.17170655950680855,0.3675699659813369,0.0011384906660353005,0.0,0.18308036896184995,B2,24,1.0,6.0,8.0,7
