rate_total,seed,t_fail,w_e,gap_next,area_1.25_base,area_1.25_b2,d_area_1.25,frac_1.25_base,frac_1.25_b2,d_frac_1.25,arcom_1.25_base,arcom_1.25_b2,d_arcom_1.25,tclose_1.25_base,tclose_1.25_b2,d_tclose_1.25,cens_1.25,area_1.5_base,area_1.5_b2,d_area_1.5,frac_1.5_base,frac_1.5_b2,d_frac_1.5,arcom_1.5_base,arcom_1.5_b2,d_arcom_1.5,tclose_1.5_base,tclose_1.5_b2,d_tclose_1.5,cens_1.5
6.0,0,71.90000000000019,1.5,3.499999999999801,0.7150297997274632,0.7054101059024017,0.009619693825061448,0.8333333333333334,0.8333333333333334,0.0,3.9066649842114423,3.854106446036493,0.052558538174949376,,,,True,0.4025297997274809,0.3929101059024194,0.009619693825061448,0.8333333333333334,0.8333333333333334,0.0,2.1992776724779555,2.1467191343030056,0.05255853817494982,,,,True
6.0,0,75.39999999999999,1.5,3.1999999999998465,0.5841074356257606,0.6611658975415925,-0.07705846191583188,0.8333333333333334,0.8333333333333334,0.0,3.3364138703073856,3.7765707754923055,-0.4401569051849199,,,,True,0.2716074356257785,0.34866589754161026,-0.07705846191583177,0.8333333333333334,0.8333333333333334,0.0,1.551418044404197,1.9915749495891177,-0.4401569051849208,,,,True
6.0,0,78.59999999999984,1.3000000000003524,1.3000000000003524,0.6452249942813817,0.6266875051463264,0.018537489135055263,0.8461538461538461,0.8461538461538461,0.0,3.861017337041724,3.750089261455647,0.11092807558607687,,,,True,0.37022499428139743,0.35168750514634206,0.018537489135055374,0.8461538461538461,0.8461538461538461,0.0,2.2154211851614507,2.1044931095753734,0.11092807558607731,,,,True
6.0,0,85.29999999999943,1.3000000000004093,1.3000000000004093,0.5084117922233388,0.5736206800748083,-0.0652088878514695,0.8846153846153846,0.8076923076923077,0.07692307692307687,2.903962082728003,3.2765136626730884,-0.37255157994508536,,,,True,0.2455925475317711,0.31112068007482324,-0.06552813254305215,0.8076923076923077,0.8076923076923077,0.0,1.4028213510949357,1.77711716891441,-0.3742958178194744,,,,True
6.0,0,101.89999999999849,1.5,2.6999999999998323,0.7560455570450947,0.6967194511370476,0.0593261059080471,0.8333333333333334,0.8333333333333334,0.0,4.130760291812299,3.806623842270019,0.32413644954228005,,,,True,0.4435455570451124,0.3842194511370653,0.0593261059080471,0.8333333333333334,0.8333333333333334,0.0,2.4233729800788137,2.0992365305365337,0.32413644954228005,,,,True
6.0,0,104.59999999999832,1.3999999999999204,1.3999999999999204,0.5416277288704484,0.6233861870951706,-0.08175845822472216,1.0,0.8214285714285714,0.1785714285714286,3.0919569339267468,3.5607735740500717,-0.4688166401233249,,,,True,0.24682578035122865,0.33588618709518686,-0.08906040674395821,0.8214285714285714,0.8214285714285714,0.0,1.409865560487251,1.9185774142191383,-0.5087118537318873,,,,True
6.0,0,105.99999999999824,1.1999999999999602,1.1999999999999602,0.8154158759436795,0.5926224881729928,0.2227933877706867,1.0,1.0,0.0,4.862425431635892,3.525497237930762,1.3369281937051305,,,,True,0.5182221569584945,0.29262248817300984,0.22559966878548465,0.9166666666666666,1.0,-0.08333333333333337,3.100259029504105,1.7473013961262518,1.352957633377853,,,,True
6.0,0,107.1999999999982,1.5,2.700000000000287,0.9960417821507704,0.8206482310468545,0.17539355110391597,1.0,1.0,0.0,6.221210089645886,5.1335797310707685,1.087630358575118,,,,True,0.6210417821507918,0.44564823104687573,0.17539355110391602,1.0,1.0,0.0,3.8799755644707674,2.7923452058956526,1.0876303585751148,,,,True
6.0,0,112.69999999999833,1.299999999999912,1.299999999999912,0.008030971702047638,0.0,0.008030971702047638,0.4230769230769231,0.0,0.4230769230769231,0.048057222286362326,0.0,0.048057222286362326,,0.0,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
6.0,0,121.59999999999737,1.5,7.999999999999986,0.7289682404572675,0.6372420352663618,0.09172620519090569,0.8666666666666667,0.8666666666666667,0.0,3.9828195981231813,3.481660689654627,0.5011589084685544,,,,True,0.4039682404572859,0.3133257103035576,0.0906425301537283,0.8666666666666667,0.8333333333333334,0.033333333333333326,2.207136793920354,1.7118986950790605,0.49523809884129366,,1.4999999999977973,,True
6.0,0,132.39999999999677,1.5,1.899999999999892,0.4718271275269741,0.6219362898240356,-0.1501091622970615,0.8666666666666667,0.8666666666666667,0.0,2.577893282788027,3.3980356158471006,-0.8201423330590734,,,,True,0.1485268108966857,0.29693628982405407,-0.14840947892736836,0.8,0.8666666666666667,-0.06666666666666665,0.8114969356072138,1.622352811644274,-0.8108558760370602,1.4499999999993776,,,True
6.0,0,134.29999999999666,1.5,6.100000000000108,0.6696428746312573,0.5791807614624385,0.0904621131688188,1.0,1.0,0.0,3.822381823783052,3.302382471756147,0.5199993520269048,,,,True,0.3341360875964408,0.23110453957932786,0.10303154801711295,0.8666666666666667,0.8333333333333334,0.033333333333333326,1.9085808692585717,1.320066043188488,0.5885148260700837,,1.4999999999999574,,True
